card_number,name,team,designations
T89C-1,Zack Gelof,Oakland Athletics,RC
T89C-2,Aaron Judge,New York Yankees,
T89C-3,Ronny Mauricio,New York Mets,RC
T89C-4,Robin Yount,Milwaukee Brewers,
T89C-5,Manny Machado,San Diego Padres,
T89C-6,Cal Ripken Jr.,Baltimore Orioles,
T89C-7,Don Mattingly,New York Yankees,
T89C-8,Andrew Abbott,Cincinnati Reds,RC
T89C-9,Corey Seager,Texas Rangers,
T89C-10,Barry Larkin,Cincinnati Reds,
T89C-11,Buster Posey,San Francisco Giants,
T89C-12,Clayton Kershaw,Los Angeles Dodgers,
T89C-13,Owen White,Texas Rangers,RC
T89C-14,Davis Schneider,Toronto Blue Jays,RC
T89C-15,Marco Luciano,San Francisco Giants,RC
T89C-16,Sal Frelick,Milwaukee Brewers,RC
T89C-17,Mike Trout,Angels,
T89C-18,Sonny Gray,Minnesota Twins,
T89C-19,Bo Bichette,Toronto Blue Jays,
T89C-20,Ceddanne Rafaela,Boston Red Sox,RC
T89C-21,Evan Carter,Texas Rangers,RC
T89C-22,Vladimir Guerrero,Montréal Expos,
T89C-23,Luis Arraez,Miami Marlins,
T89C-24,Vladimir Guerrero Jr.,Toronto Blue Jays,
T89C-25,Everson Pereira,New York Yankees,RC
T89C-26,Corbin Carroll,Arizona Diamondbacks,
T89C-27,Pete Alonso,New York Mets,
T89C-28,Ronald Acuña Jr.,Atlanta Braves,
T89C-29,Adley Rutschman,Baltimore Orioles,
T89C-30,Luis Matos,San Francisco Giants,RC
T89C-31,Ken Griffey Jr.,Seattle Mariners,
T89C-32,George Brett,Kansas City Royals,
T89C-33,Jasson Domínguez,New York Yankees,RC
T89C-34,Junior Caminero,Tampa Bay Rays,RC
T89C-35,José Ramírez,Cleveland Guardians,
T89C-36,Wade Boggs,Boston Red Sox,
T89C-37,Jeff Bagwell,Houston Astros,
T89C-38,Emmet Sheehan,Los Angeles Dodgers,RC
T89C-39,Rafael Devers,Boston Red Sox,
T89C-40,Kris Bryant,Colorado Rockies,
T89C-41,Frank Thomas,Chicago White Sox,
T89C-42,Gavin Williams,Cleveland Guardians,RC
T89C-43,Tyler Soderstrom,Oakland Athletics,RC
T89C-44,Julio Rodríguez,Seattle Mariners,
T89C-45,Freddie Freeman,Los Angeles Dodgers,
T89C-46,Gerrit Cole,New York Yankees,
T89C-47,Will Clark,San Francisco Giants,
T89C-48,Bryce Harper,Philadelphia Phillies,
T89C-49,Nolan Schanuel,Angels,RC
T89C-50,Ryne Sandberg,Chicago Cubs,
T89C-51,Luis Robert Jr.,Chicago White Sox,
T89C-52,Bo Jackson,Kansas City Royals,
T89C-53,Curtis Mead,Tampa Bay Rays,RC
T89C-54,Justin Verlander,Houston Astros,
T89C-55,Adolis García,Texas Rangers,
T89C-56,Randy Arozarena,Tampa Bay Rays,
T89C-57,Lawrence Butler,Oakland Athletics,RC
T89C-58,Ichiro,Seattle Mariners,
T89C-59,Christopher Morel,Chicago Cubs,
T89C-60,Nolan Ryan,Houston Astros,
T89C-61,Tony Gwynn,San Diego Padres,
T89C-62,Byron Buxton,Minnesota Twins,
T89C-63,Nolan Arenado,St. Louis Cardinals,
T89C-64,Trea Turner,Philadelphia Phillies,
T89C-65,Josh Jung,Texas Rangers,
T89C-66,AJ Smith-Shawver,Atlanta Braves,RC
T89C-67,Francisco Lindor,New York Mets,
T89C-68,Anthony Rizzo,New York Yankees,
T89C-69,Fernando Tatis Jr.,San Diego Padres,
T89C-70,Colton Cowser,Baltimore Orioles,RC
T89C-71,Juan Soto,San Diego Padres,
T89C-72,Matt Olson,Atlanta Braves,
T89C-73,Shohei Ohtani,Angels,
T89C-74,Jose Altuve,Houston Astros,
T89C-75,Noelvi Marte,Cincinnati Reds,RC
T89C-76,Willie Mays,New York Giants,
T89C-77,Christian Yelich,Milwaukee Brewers,
T89C-78,Masyn Winn,St. Louis Cardinals,RC
T89C-79,Heston Kjerstad,Baltimore Orioles,RC
T89C-80,Kyle Harrison,San Francisco Giants,RC
T89C-81,Andrew McCutchen,Pittsburgh Pirates,
T89C-82,Joey Votto,Cincinnati Reds,
T89C-83,Elly De La Cruz,Cincinnati Reds,RC
T89C-84,Yordan Alvarez,Houston Astros,
T89C-85,Bobby Witt Jr.,Kansas City Royals,
T89C-86,Pete Crow-Armstrong,Chicago Cubs,RC
T89C-87,Albert Pujols,St. Louis Cardinals,
T89C-88,Christian Encarnacion-Strand,Cincinnati Reds,RC
T89C-89,Paul Goldschmidt,St. Louis Cardinals,
T89C-90,Jordan Westburg,Baltimore Orioles,RC
T89C-91,Masataka Yoshida,Boston Red Sox,
T89C-92,Jazz Chisholm Jr.,Miami Marlins,
T89C-93,Chipper Jones,Atlanta Braves,
T89C-94,Henry Davis,Pittsburgh Pirates,RC
T89C-95,Bryan Woo,Seattle Mariners,RC
T89C-96,Mookie Betts,Los Angeles Dodgers,
T89C-97,Mike Schmidt,Philadelphia Phillies,
T89C-98,Miguel Cabrera,Detroit Tigers,
T89C-99,Mark McGwire,Oakland Athletics,
T89C-100,Jordan Lawlar,Arizona Diamondbacks,RC
