card_number,name,team,designations
89B2-1,Shohei Ohtani,Los Angeles Dodgers,
89B2-2,Hank Aaron,Atlanta Braves,
89B2-3,Noelvi Marte,Cincinnati Reds,RC
89B2-4,Shota Imanaga,Chicago Cubs,RC
89B2-5,Pete Crow-Armstrong,Chicago Cubs,RC
89B2-6,Kyle Tucker,Houston Astros,
89B2-7,Derek Jeter,New York Yankees,
89B2-8,Sonny Gray,St. Louis Cardinals,
89B2-9,Julio Rodríguez,Seattle Mariners,
89B2-10,Gunnar Henderson,Baltimore Orioles,
89B2-11,Bryce Harper,Philadelphia Phillies,
89B2-12,Craig Biggio,Houston Astros,
89B2-13,Luis Castillo,Seattle Mariners,
89B2-14,Spencer Strider,Atlanta Braves,
89B2-15,David Wright,New York Mets,
89B2-16,Ha-Seong Kim,San Diego Padres,
89B2-17,Dansby Swanson,Chicago Cubs,
89B2-18,Heston Kjerstad,Baltimore Orioles,RC
89B2-19,Joe Musgrove,San Diego Padres,
89B2-20,Triston Casas,Boston Red Sox,
89B2-21,Mickey Mantle,New York Yankees,
89B2-22,Salvador Perez,Kansas City Royals,
89B2-23,Prince Fielder,Milwaukee Brewers,
89B2-24,Nolan Jones,Colorado Rockies,
89B2-25,Adrián Beltré,Texas Rangers,
89B2-26,Kirby Puckett,Minnesota Twins,
89B2-27,Juan Soto,New York Yankees,
89B2-28,Aaron Nola,Philadelphia Phillies,
89B2-29,Austin Riley,Atlanta Braves,
89B2-30,Ronald Acuña Jr.,Atlanta Braves,
89B2-31,Jordan Walker,St. Louis Cardinals,
89B2-32,Alex Bregman,Houston Astros,
89B2-33,Davis Schneider,Toronto Blue Jays,RC
89B2-34,Elly De La Cruz,Cincinnati Reds,RC
89B2-35,Randy Johnson,Arizona Diamondbacks,
89B2-36,Austin Wells,New York Yankees,RC
89B2-37,Pedro Martinez,Boston Red Sox,
89B2-38,Matt McLain,Cincinnati Reds,
89B2-39,Aaron Judge,New York Yankees,
89B2-40,Jung Hoo Lee,San Francisco Giants,RC
89B2-41,Jasson Domínguez,New York Yankees,RC
89B2-42,Kyle Schwarber,Philadelphia Phillies,
89B2-43,Mike Piazza,New York Mets,
89B2-44,CJ Abrams,Washington Nationals,
89B2-45,Evan Carter,Texas Rangers,RC
89B2-46,Triston McKenzie,Cleveland Guardians,
89B2-47,Sandy Koufax,Los Angeles Dodgers,
89B2-48,Yoshinobu Yamamoto,Los Angeles Dodgers,RC
89B2-49,Fernando Tatis Jr.,San Diego Padres,
89B2-50,Mike Trout,Angels,
