card_number,name,team,designations
23GH-1,Christopher Morel,Chicago Cubs,
23GH-2,Aaron Judge,New York Yankees,
23GH-3,Matt Olson,Atlanta Braves,
23GH-4,José Ramírez,Cleveland Guardians,
23GH-5,Ronald Acuña Jr.,Atlanta Braves,
23GH-6,Luis Arraez,Miami Marlins,
23GH-7,Chas McCormick,Houston Astros,
23GH-8,Ronald Acuña Jr.,Atlanta Braves,
23GH-9,Bobby Witt Jr.,Kansas City Royals,
23GH-10,Jose Altuve,Houston Astros,
23GH-11,Kyle Tucker,Houston Astros,
23GH-12,Shohei Ohtani,Angels,
23GH-13,Shohei Ohtani,Angels,
23GH-14,Shohei Ohtani,Angels,
23GH-15,Ha-Seong Kim,San Diego Padres,
23GH-16,Mookie Betts,Los Angeles Dodgers,
23GH-17,Julio Rodríguez,Seattle Mariners,
23GH-18,Gunnar Henderson,Baltimore Orioles,
23GH-19,Jose Altuve,Houston Astros,
23GH-20,Bobby Witt Jr.,Kansas City Royals,
23GH-21,Pete Alonso,New York Mets,
23GH-22,Adolis García,Texas Rangers,
23GH-23,Royce Lewis,Minnesota Twins,
23GH-24,Miguel Cabrera,Detroit Tigers,
23GH-25,Elly De La Cruz,Cincinnati Reds,RC
23GH-26,Jasson Domínguez,New York Yankees,RC
23GH-27,Aaron Judge,New York Yankees,
23GH-28,Mookie Betts,Los Angeles Dodgers,
23GH-29,Sal Frelick,Milwaukee Brewers,RC
23GH-30,Noelvi Marte,Cincinnati Reds,RC
23GH-31,James Outman,Los Angeles Dodgers,
