card_number,name,team,designations
ATH-1,Nolan Arenado,St. Louis Cardinals,
ATH-2,Ozzie Smith,St. Louis Cardinals,
ATH-3,Paul Goldschmidt,St. Louis Cardinals,
ATH-4,Brooks Robinson,Baltimore Orioles,
ATH-5,Cal Ripken Jr.,Baltimore Orioles,
ATH-6,Eddie Murray,Baltimore Orioles,
ATH-7,Austin Riley,Atlanta Braves,
ATH-8,Ozzie Albies,Atlanta Braves,
ATH-9,Matt Olson,Atlanta Braves,
ATH-10,Max Muncy,Los Angeles Dodgers,
ATH-11,Mookie Betts,Los Angeles Dodgers,
ATH-12,Freddie Freeman,Los Angeles Dodgers,
ATH-13,Trea Turner,Philadelphia Phillies,
ATH-14,Bryson Stott,Philadelphia Phillies,
ATH-15,Bryce Harper,Philadelphia Phillies,
ATH-16,David Wright,New York Mets,
ATH-17,Francisco Lindor,New York Mets,
ATH-18,Pete Alonso,New York Mets,
ATH-19,Elly De La Cruz,Cincinnati Reds,RC
ATH-20,Matt McLain,Cincinnati Reds,
ATH-21,Joey Votto,Cincinnati Reds,
ATH-22,Alex Bregman,Houston Astros,
ATH-23,Jose Altuve,Houston Astros,
ATH-24,Jeff Bagwell,Houston Astros,
ATH-25,Josh Jung,Texas Rangers,
ATH-26,Corey Seager,Texas Rangers,
ATH-27,Marcus Semien,Texas Rangers,
ATH-28,Alex Rodriguez,New York Yankees,
ATH-29,Derek Jeter,New York Yankees,
ATH-30,Don Mattingly,New York Yankees,
