card_number,name,team,designations
KID-1,Ken Griffey Jr.,Seattle Mariners,
KID-2,Ken Griffey Jr.,Seattle Mariners,
KID-3,Ken Griffey Jr.,Seattle Mariners,
KID-4,Ken Griffey Jr.,Seattle Mariners,
KID-5,Ken Griffey Jr.,Seattle Mariners,
KID-6,Ken Griffey Jr.,Seattle Mariners,
KID-7,Ken Griffey Jr.,Seattle Mariners,
KID-8,Ken Griffey Jr.,Seattle Mariners,
KID-9,Ken Griffey Jr.,Seattle Mariners,
KID-10,Ken Griffey Jr.,Seattle Mariners,
KID-11,Ken Griffey Jr.,Seattle Mariners,
KID-12,Ken Griffey Jr.,Seattle Mariners,
KID-13,Ken Griffey Jr.,Seattle Mariners,
KID-14,Ken Griffey Jr.,Seattle Mariners,
KID-15,Ken Griffey Jr.,Seattle Mariners,
KID-16,Ken Griffey Jr.,Cincinnati Reds,
KID-17,Ken Griffey Jr.,Cincinnati Reds,
KID-18,Ken Griffey Jr.,Cincinnati Reds,
KID-19,Ken Griffey Jr.,Cincinnati Reds,
KID-20,Ken Griffey Jr.,Cincinnati Reds,
KID-21,Ken Griffey Jr.,Cincinnati Reds,
KID-22,Ken Griffey Jr.,Chicago White Sox,
KID-23,Ken Griffey Jr.,Seattle Mariners,
KID-24,Ken Griffey Jr.,Seattle Mariners,
