card_number,name,team,designations
CTF-1,Mike Trout,Angels,
CTF-2,Aaron Judge,New York Yankees,
CTF-3,Shohei Ohtani,Los Angeles Dodgers,
CTF-4,Corbin Carroll,Arizona Diamondbacks,
CTF-5,Ronald Acuña Jr.,Atlanta Braves,
CTF-6,Bryce Harper,Philadelphia Phillies,
CTF-7,Fernando Tatis Jr.,San Diego Padres,
CTF-8,Julio Rodríguez,Seattle Mariners,
CTF-9,Bobby Witt Jr.,Kansas City Royals,
CTF-10,Bo Bichette,Toronto Blue Jays,
CTF-11,Corey Seager,Texas Rangers,
CTF-12,Freddie Freeman,Los Angeles Dodgers,
CTF-13,Mookie Betts,Los Angeles Dodgers,
CTF-14,Elly De La Cruz,Cincinnati Reds,RC
CTF-15,Vladimir Guerrero Jr.,Toronto Blue Jays,
CTF-16,Juan Soto,New York Yankees,
CTF-17,Yordan Alvarez,Houston Astros,
CTF-18,Luis Arraez,Miami Marlins,
CTF-19,Nico Hoerner,Chicago Cubs,
CTF-20,Paul Goldschmidt,St. Louis Cardinals,
CTF-21,Christian Yelich,Milwaukee Brewers,
CTF-22,Adley Rutschman,Baltimore Orioles,
CTF-23,Matt Olson,Atlanta Braves,
CTF-24,Rafael Devers,Boston Red Sox,
CTF-25,Trea Turner,Philadelphia Phillies,
