card_number,name,team,designations
FF-1,Shohei Ohtani,Los Angeles Dodgers,
FF-2,Mike Trout,Angels,
FF-3,Corbin Carroll,Arizona Diamondbacks,
FF-4,Ronald Acuña Jr.,Atlanta Braves,
FF-5,Aaron Judge,New York Yankees,
FF-6,Bryce Harper,Philadelphia Phillies,
FF-7,Fernando Tatis Jr.,San Diego Padres,
FF-8,Julio Rodríguez,Seattle Mariners,
FF-9,Nolan Arenado,St. Louis Cardinals,
FF-10,Bobby Witt Jr.,Kansas City Royals,
FF-11,Jazz Chisholm Jr.,Miami Marlins,
FF-12,Spencer Strider,Atlanta Braves,
FF-13,Freddie Freeman,Los Angeles Dodgers,
FF-14,Mookie Betts,Los Angeles Dodgers,
FF-15,Pete Alonso,New York Mets,
FF-16,Yordan Alvarez,Houston Astros,
FF-17,Elly De La Cruz,Cincinnati Reds,RC
FF-18,Vladimir Guerrero Jr.,Toronto Blue Jays,
FF-19,Juan Soto,New York Yankees,
FF-20,Kyle Tucker,Houston Astros,
