card_number,name,team,designations
HSH-AB,Alex Bregman,Houston Astros,
HSH-AJ,Aaron Judge,New York Yankees,
HSH-AM,Andrew McCutchen,Pittsburgh Pirates,
HSH-ARU,Adley Rutschman,Baltimore Orioles,
HSH-BB,Bo Bichette,Toronto Blue Jays,
HSH-BBX,Byron Buxton,Minnesota Twins,
HSH-BH,Bryce Harper,Philadelphia Phillies,
HSH-BW,Bobby Witt Jr.,Kansas City Royals,
HSH-CC,Colton Cowser,Baltimore Orioles,RC
HSH-CCA,Corbin Carroll,Arizona Diamondbacks,
HSH-CK,Clayton Kershaw,Los Angeles Dodgers,
HSH-CM,Christopher Morel,Chicago Cubs,
HSH-CS,Corey Seager,Texas Rangers,
HSH-CY,Christian Yelich,Milwaukee Brewers,
HSH-DS,Dansby Swanson,Chicago Cubs,
HSH-ED,Elly De La Cruz,Cincinnati Reds,RC
HSH-FF,Freddie Freeman,Los Angeles Dodgers,
HSH-FL,Francisco Lindor,New York Mets,
HSH-FT,Fernando Tatis Jr.,San Diego Padres,
HSH-GC,Gerrit Cole,New York Yankees,
HSH-GEL,Zack Gelof,Oakland Athletics,RC
HSH-HD,Henry Davis,Pittsburgh Pirates,RC
HSH-JA,Jose Altuve,Houston Astros,
HSH-JC,Jazz Chisholm Jr.,Miami Marlins,
HSH-JR,José Ramírez,Cleveland Guardians,
HSH-JROD,Julio Rodríguez,Seattle Mariners,
HSH-JS,Juan Soto,San Diego Padres,
HSH-JV,Joey Votto,Cincinnati Reds,
HSH-JW,Jordan Westburg,Baltimore Orioles,RC
HSH-KB,Kris Bryant,Colorado Rockies,
HSH-LR,Luis Robert Jr.,Chicago White Sox,
HSH-MB,Mookie Betts,Los Angeles Dodgers,
HSH-MC,Miguel Cabrera,Detroit Tigers,
HSH-ML,Marco Luciano,San Francisco Giants,RC
HSH-MM,Manny Machado,San Diego Padres,
HSH-MO,Matt Olson,Atlanta Braves,
HSH-MT,Mike Trout,Angels,
HSH-NA,Nolan Arenado,St. Louis Cardinals,
HSH-PA,Pete Alonso,New York Mets,
HSH-PG,Paul Goldschmidt,St. Louis Cardinals,
HSH-RA,Randy Arozarena,Tampa Bay Rays,
HSH-RAJ,Ronald Acuña Jr.,Atlanta Braves,
HSH-RD,Rafael Devers,Boston Red Sox,
HSH-RG,Riley Greene,Detroit Tigers,
HSH-RMA,Ronny Mauricio,New York Mets,RC
HSH-SO,Shohei Ohtani,Angels,
HSH-SS,Spencer Strider,Atlanta Braves,
HSH-TT,Trea Turner,Philadelphia Phillies,
HSH-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
HSH-YA,Yordan Alvarez,Houston Astros,
