card_number,name,team,designations
HFA-1,Elly De La Cruz,Cincinnati Reds,RC
HFA-2,Clayton Kershaw,Los Angeles Dodgers,
HFA-3,Yordan Alvarez,Houston Astros,
HFA-4,Andrew McCutchen,Pittsburgh Pirates,
HFA-5,Nolan Arenado,St. Louis Cardinals,
HFA-6,Fernando Tatis Jr.,San Diego Padres,
HFA-7,Julio Rodríguez,Seattle Mariners,
HFA-8,Mike Trout,Angels,
HFA-9,Randy Arozarena,Tampa Bay Rays,
HFA-10,Bobby Witt Jr.,Kansas City Royals,
HFA-11,Ronald Acuña Jr.,Atlanta Braves,
HFA-12,Jasson Domínguez,New York Yankees,RC
HFA-13,Evan Carter,Texas Rangers,RC
HFA-14,Jordan Lawlar,Arizona Diamondbacks,RC
HFA-15,Pete Crow-Armstrong,Chicago Cubs,RC
HFA-16,Marco Luciano,San Francisco Giants,RC
HFA-17,Bryce Harper,Philadelphia Phillies,
HFA-18,Tyler Soderstrom,Oakland Athletics,RC
HFA-19,Luis Arraez,Miami Marlins,
HFA-20,Yoshinobu Yamamoto,Los Angeles Dodgers,RC
