card_number,name,team,designations
OTB-1,Vladimir Guerrero Jr.,Toronto Blue Jays,
OTB-2,Shohei Ohtani,Angels,
OTB-3,Yordan Alvarez,Houston Astros,
OTB-4,Aaron Judge,New York Yankees,
OTB-5,Ronald Acuña Jr.,Atlanta Braves,
OTB-6,Mike Trout,Angels,
OTB-7,Juan Soto,San Diego Padres,
OTB-8,Fernando Tatis Jr.,San Diego Padres,
OTB-9,Nolan Arenado,St. Louis Cardinals,
OTB-10,Pete Alonso,New York Mets,
OTB-11,Bryce Harper,Philadelphia Phillies,
OTB-12,Julio Rodríguez,Seattle Mariners,
OTB-13,Mookie Betts,Los Angeles Dodgers,
OTB-14,Ronny Mauricio,New York Mets,RC
OTB-15,Rafael Devers,Boston Red Sox,
OTB-16,Adley Rutschman,Baltimore Orioles,
OTB-17,Elly De La Cruz,Cincinnati Reds,RC
OTB-18,Henry Davis,Pittsburgh Pirates,RC
OTB-19,Bobby Witt Jr.,Kansas City Royals,
OTB-20,Jazz Chisholm Jr.,Miami Marlins,
OTB-21,Luis Robert Jr.,Chicago White Sox,
OTB-22,Byron Buxton,Minnesota Twins,
OTB-23,Christian Yelich,Milwaukee Brewers,
OTB-24,Marco Luciano,San Francisco Giants,RC
OTB-25,Freddie Freeman,Los Angeles Dodgers,
OTB2-1,Shohei Ohtani,Los Angeles Dodgers,
OTB2-2,Ozzie Albies,Atlanta Braves,
OTB2-3,Austin Riley,Atlanta Braves,
OTB2-4,Gunnar Henderson,Baltimore Orioles,
OTB2-5,Cody Bellinger,Chicago Cubs,
OTB2-6,Jose Altuve,Houston Astros,
OTB2-7,Kyle Tucker,Houston Astros,
OTB2-8,Clayton Kershaw,Los Angeles Dodgers,
OTB2-9,Carlos Correa,Minnesota Twins,
OTB2-10,Sonny Gray,St. Louis Cardinals,
OTB2-11,Francisco Lindor,New York Mets,
OTB2-12,Trea Turner,Philadelphia Phillies,
OTB2-13,Aaron Nola,Philadelphia Phillies,
OTB2-14,Andrew McCutchen,Pittsburgh Pirates,
OTB2-15,Manny Machado,San Diego Padres,
OTB2-16,Yoshinobu Yamamoto,Los Angeles Dodgers,RC
OTB2-17,Josh Jung,Texas Rangers,RC
OTB2-18,Bo Bichette,Toronto Blue Jays,
OTB2-19,Jordan Lawlar,Arizona Diamondbacks,RC
OTB2-20,Junior Caminero,Tampa Bay Rays,RC
OTB2-21,Masyn Winn,St. Louis Cardinals,RC
OTB2-22,Pete Crow-Armstrong,Chicago Cubs,RC
OTB2-23,Kyle Harrison,San Francisco Giants,RC
OTB2-24,Noelvi Marte,Cincinnati Reds,RC
OTB2-25,Heston Kjerstad,Baltimore Orioles,RC
