card_number,name,team,designations
PP-1,Shohei Ohtani,Los Angeles Dodgers,
PP-2,Mike Trout,Angels,
PP-3,Pete Crow-Armstrong,Chicago Cubs,RC
PP-4,Ronald Acuña Jr.,Atlanta Braves,
PP-5,Matt Olson,Atlanta Braves,
PP-6,Ronny Mauricio,New York Mets,RC
PP-7,Jung Hoo Lee,San Francisco Giants,RC
PP-8,Jordan Lawlar,Arizona Diamondbacks,RC
PP-9,Noelvi Marte,Cincinnati Reds,RC
PP-10,Elly De La Cruz,Cincinnati Reds,RC
PP-11,Yordan Alvarez,Houston Astros,
PP-12,Freddie Freeman,Los Angeles Dodgers,
PP-13,Mookie Betts,Los Angeles Dodgers,
PP-14,Pete Alonso,New York Mets,
PP-15,Aaron Judge,New York Yankees,
PP-16,Bryce Harper,Philadelphia Phillies,
PP-17,Juan Soto,New York Yankees,
PP-18,Fernando Tatis Jr.,San Diego Padres,
PP-19,Julio Rodríguez,Seattle Mariners,
PP-20,Nolan Arenado,St. Louis Cardinals,
PP-21,Colton Cowser,Baltimore Orioles,RC
PP-22,Junior Caminero,Tampa Bay Rays,RC
PP-23,Vladimir Guerrero Jr.,Toronto Blue Jays,
PP-24,Bo Bichette,Toronto Blue Jays,
PP-25,Bobby Witt Jr.,Kansas City Royals,
PP-26,Evan Carter,Texas Rangers,RC
PP-27,Jasson Domínguez,New York Yankees,RC
PP-28,Marco Luciano,San Francisco Giants,RC
PP-29,Austin Riley,Atlanta Braves,
PP-30,Corey Seager,Texas Rangers,
