card_number,name,team,designations
SLMB-4,Jordan Lawlar,Arizona Diamondbacks,RC
SLMB-7,Christian Encarnacion-Strand,Cincinnati Reds,RC
SLMB-11,Ronny Mauricio,New York Mets,RC
SLMB-12,Sal Frelick,Milwaukee Brewers,RC
SLMB-18,Tyler Soderstrom,Oakland Athletics,RC
SLMB-25,Pete Crow-Armstrong,Chicago Cubs,RC
SLMB-30,Marco Luciano,San Francisco Giants,RC
SMLB-1,Paul Goldschmidt,St. Louis Cardinals,
SMLB-2,Mike Trout,Angels,
SMLB-3,Ronald Acuña Jr.,Atlanta Braves,
SMLB-5,Riley Greene,Detroit Tigers,
SMLB-6,Luis Robert Jr.,Chicago White Sox,
SMLB-8,Yordan Alvarez,Houston Astros,
SMLB-9,Mookie Betts,Los Angeles Dodgers,
SMLB-10,Jazz Chisholm Jr.,Miami Marlins,
SMLB-13,Aaron Judge,New York Yankees,
SMLB-14,Bryce Harper,Philadelphia Phillies,
SMLB-15,Fernando Tatis Jr.,San Diego Padres,
SMLB-16,Julio Rodríguez,Seattle Mariners,
SMLB-17,Bobby Witt Jr.,Kansas City Royals,
SMLB-19,Vladimir Guerrero Jr.,Toronto Blue Jays,
SMLB-20,Juan Soto,San Diego Padres,
SMLB-21,Shohei Ohtani,Angels,
SMLB-22,Adley Rutschman,Baltimore Orioles,
SMLB-23,Elly De La Cruz,Cincinnati Reds,RC
SMLB-24,Pete Alonso,New York Mets,
SMLB-26,Freddie Freeman,Los Angeles Dodgers,
SMLB-27,Henry Davis,Pittsburgh Pirates,RC
SMLB-28,Corey Seager,Texas Rangers,
SMLB-29,Corbin Carroll,Arizona Diamondbacks,
SMLB-31,Matt Olson,Atlanta Braves,
SMLB-32,Spencer Strider,Atlanta Braves,
SMLB-33,Gunnar Henderson,Baltimore Orioles,
SMLB-34,Luis Arraez,Miami Marlins,
SMLB-35,Jasson Domínguez,New York Yankees,RC
SMLB-36,Gerrit Cole,New York Yankees,
SMLB-37,Clayton Kershaw,Los Angeles Dodgers,
SMLB-38,Noelvi Marte,Cincinnati Reds,RC
SMLB-39,Joey Votto,Cincinnati Reds,
SMLB-40,Jose Altuve,Houston Astros,
SMLB-41,Christian Yelich,Milwaukee Brewers,
SMLB-42,Francisco Lindor,New York Mets,
SMLB-43,Trea Turner,Philadelphia Phillies,
SMLB-44,Manny Machado,San Diego Padres,
SMLB-45,Nolan Arenado,St. Louis Cardinals,
SMLB-46,Bo Bichette,Toronto Blue Jays,
SMLB-47,Evan Carter,Texas Rangers,RC
SMLB-48,Ceddanne Rafaela,Boston Red Sox,RC
SMLB-49,Carlos Correa,Minnesota Twins,
SMLB-50,Junior Caminero,Tampa Bay Rays,RC
SMLB-51,José Ramírez,Cleveland Guardians,
SMLB-52,Randy Arozarena,Tampa Bay Rays,
SMLB-53,Kyle Harrison,San Francisco Giants,RC
SMLB-54,Masyn Winn,St. Louis Cardinals,RC
SMLB-55,Shohei Ohtani,Los Angeles Dodgers,
SMLB-56,Sal Frelick,Milwaukee Brewers,RC
SMLB-57,Yoshinobu Yamamoto,Los Angeles Dodgers,RC
SMLB-58,Sonny Gray,St. Louis Cardinals,
SMLB-59,Alex Bregman,Houston Astros,
SMLB-60,Zack Gelof,Oakland Athletics,RC
