card_number,name,team,designations
SB-1,Aaron Judge,New York Yankees,
SB-2,Mike Trout,Angels,
SB-3,Shohei Ohtani,Angels,
SB-4,Bryce Harper,Philadelphia Phillies,
SB-5,Fernando Tatis Jr.,San Diego Padres,
SB-6,Julio Rodríguez,Seattle Mariners,
SB-7,Ken Griffey Jr.,Seattle Mariners,
SB-8,Ronald Acuña Jr.,Atlanta Braves,
SB-9,Juan Soto,San Diego Padres,
SB-10,Vladimir Guerrero Jr.,Toronto Blue Jays,
SB-11,Adley Rutschman,Baltimore Orioles,
SB-12,Freddie Freeman,Los Angeles Dodgers,
SB-13,Pete Alonso,New York Mets,
SB-14,Corbin Carroll,Arizona Diamondbacks,
SB-15,Elly De La Cruz,Cincinnati Reds,RC
SB-16,Joey Votto,Cincinnati Reds,
SB-17,Mookie Betts,Los Angeles Dodgers,
SB-18,Derek Jeter,New York Yankees,
SB-19,Clayton Kershaw,Los Angeles Dodgers,
SB-20,Paul Goldschmidt,St. Louis Cardinals,
SB-21,Bo Bichette,Toronto Blue Jays,
SB-22,Andrew McCutchen,Pittsburgh Pirates,
SB-23,Gerrit Cole,New York Yankees,
SB-24,Nolan Arenado,St. Louis Cardinals,
SB-25,Bobby Witt Jr.,Kansas City Royals,
