card_number,name,team,designations
89ASR-AB,Alex Bregman,Houston Astros,
89ASR-AJ,Aaron Judge,New York Yankees,
89ASR-AM,Andrew McCutchen,Pittsburgh Pirates,
89ASR-AP,Andy Pettitte,New York Yankees,
89ASR-APU,Albert Pujols,St. Louis Cardinals,
89ASR-AR,Anthony Rizzo,New York Yankees,
89ASR-AROD,Alex Rodriguez,New York Yankees,
89ASR-ARU,Adley Rutschman,Baltimore Orioles,
89ASR-BH,Bryce Harper,Philadelphia Phillies,
89ASR-BP,Buster Posey,San Francisco Giants,
89ASR-CC,Corbin Carroll,Arizona Diamondbacks,
89ASR-CJ,Chipper Jones,Atlanta Braves,
89ASR-CR,Cal Ripken Jr.,Baltimore Orioles,
89ASR-CY,Christian Yelich,Milwaukee Brewers,
89ASR-DJ,Derek Jeter,New York Yankees,
89ASR-DO,David Ortiz,Boston Red Sox,
89ASR-DS,Dansby Swanson,Chicago Cubs,
89ASR-EM,Eddie Murray,Baltimore Orioles,
89ASR-FF,Freddie Freeman,Los Angeles Dodgers,
89ASR-FT,Fernando Tatis Jr.,San Diego Padres,
89ASR-FTH,Frank Thomas,Chicago White Sox,
89ASR-GC,Gerrit Cole,New York Yankees,
89ASR-I,Ichiro,Seattle Mariners,
89ASR-IR,Ivan Rodriguez,Texas Rangers,
89ASR-JA,Jose Altuve,Houston Astros,
89ASR-JR,Julio Rodríguez,Seattle Mariners,
89ASR-JRA,José Ramírez,Cleveland Guardians,
89ASR-JS,Juan Soto,New York Yankees,
89ASR-JV,Joey Votto,Cincinnati Reds,
89ASR-KG,Ken Griffey Jr.,Seattle Mariners,
89ASR-KP,Kirby Puckett,Minnesota Twins,
89ASR-LR,Luis Robert Jr.,Chicago White Sox,
89ASR-MB,Mookie Betts,Los Angeles Dodgers,
89ASR-MC,Miguel Cabrera,Detroit Tigers,
89ASR-MM,Mickey Mantle,New York Yankees,
89ASR-MMA,Manny Machado,San Diego Padres,
89ASR-MO,Matt Olson,Atlanta Braves,
89ASR-MP,Mike Piazza,Los Angeles Dodgers,
89ASR-MR,Mariano Rivera,New York Yankees,
89ASR-MS,Mike Schmidt,Philadelphia Phillies,
89ASR-MT,Mike Trout,Angels,
89ASR-NA,Nolan Arenado,St. Louis Cardinals,
89ASR-PA,Pete Alonso,New York Mets,
89ASR-PG,Paul Goldschmidt,St. Louis Cardinals,
89ASR-RA,Randy Arozarena,Tampa Bay Rays,
89ASR-RAJ,Ronald Acuña Jr.,Atlanta Braves,
89ASR-RD,Rafael Devers,Boston Red Sox,
89ASR-SO,Shohei Ohtani,Los Angeles Dodgers,
89ASR-SS,Sammy Sosa,Chicago Cubs,
89ASR-TG,Tony Gwynn,San Diego Padres,
89ASR-TT,Trea Turner,Philadelphia Phillies,
89ASR-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
89ASR-YA,Yordan Alvarez,Houston Astros,
