card_number,name,team,designations
PPAR-AB,Alex Bregman,Houston Astros,
PPAR-ABR,José Abreu,Houston Astros,
PPAR-AC,Aroldis Chapman,Texas Rangers,
PPAR-AG,Adolis García,Texas Rangers,
PPAR-AN,Aaron Nola,Philadelphia Phillies,
PPAR-AR,Adley Rutschman,Baltimore Orioles,
PPAR-AT,Alek Thomas,Arizona Diamondbacks,
PPAR-BH,Bryce Harper,Philadelphia Phillies,
PPAR-BS,Bryson Stott,Philadelphia Phillies,
PPAR-CB,Corbin Burnes,Milwaukee Brewers,
PPAR-CC,Corbin Carroll,Arizona Diamondbacks,
PPAR-CJ,Cristian Javier,Houston Astros,
PPAR-CM,Chas McCormick,Houston Astros,
PPAR-CS,Corey Seager,Texas Rangers,
PPAR-CW,Christian Walker,Arizona Diamondbacks,
PPAR-CY,Christian Yelich,Milwaukee Brewers,
PPAR-FF,Freddie Freeman,Los Angeles Dodgers,
PPAR-FP,Freddy Peralta,Milwaukee Brewers,
PPAR-GH,Gunnar Henderson,Baltimore Orioles,
PPAR-GM,Gabriel Moreno,Arizona Diamondbacks,
PPAR-GS,George Springer,Toronto Blue Jays,
PPAR-HB,Hunter Brown,Houston Astros,
PPAR-JA,Jose Altuve,Houston Astros,
PPAR-JCJ,Jazz Chisholm Jr.,Miami Marlins,
PPAR-JH,Jonah Heim,Texas Rangers,
PPAR-JM,Jorge Mateo,Baltimore Orioles,
PPAR-JP,Jeremy Peña,Houston Astros,
PPAR-JU,Jose Urquidy,Houston Astros,
PPAR-KG,Kyle Gibson,Baltimore Orioles,
PPAR-KS,Kyle Schwarber,Philadelphia Phillies,
PPAR-MAR,Brandon Marsh,Philadelphia Phillies,
PPAR-MB,Michael Brantley,Houston Astros,
PPAR-MC,Matt Chapman,Toronto Blue Jays,
PPAR-NC,Nick Castellanos,Philadelphia Phillies,
PPAR-NE,Nathan Eovaldi,Texas Rangers,
PPAR-PER,Geraldo Perdomo,Arizona Diamondbacks,
PPAR-RA,Randy Arozarena,Tampa Bay Rays,
PPAR-RAJ,Ronald Acuña Jr.,Atlanta Braves,
PPAR-RL,Royce Lewis,Minnesota Twins,
PPAR-RP,Ryan Pressly,Houston Astros,
PPAR-SEM,Marcus Semien,Texas Rangers,
PPAR-SS,Spencer Strider,Atlanta Braves,
PPAR-TT,Trea Turner,Philadelphia Phillies,
PPAR-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
PPAR-WC,William Contreras,Milwaukee Brewers,
PPAR-WM,Whit Merrifield,Toronto Blue Jays,
PPAR-YA,Yordan Alvarez,Houston Astros,
PPAR-ZG,Zac Gallen,Arizona Diamondbacks,
