card_number,name,team,designations
RTB-AJ,Aaron Judge,New York Yankees,
RTB-AR,Anthony Rizzo,New York Yankees,
RTB-ARI,Austin Riley,Atlanta Braves,
RTB-BH,Bryce Harper,Philadelphia Phillies,
RTB-BN,Brandon Nimmo,New York Mets,
RTB-COR,Carlos Correa,Minnesota Twins,
RTB-CY,Christian Yelich,Milwaukee Brewers,
RTB-DS,Dansby Swanson,Chicago Cubs,
RTB-FF,Freddie Freeman,Los Angeles Dodgers,
RTB-FL,Francisco Lindor,New York Mets,
RTB-FT,Fernando Tatis Jr.,San Diego Padres,
RTB-JB,Javier Báez,Detroit Tigers,
RTB-JS,Juan Soto,San Diego Padres,
RTB-KS,Kyle Schwarber,Philadelphia Phillies,
RTB-MB,Mookie Betts,Los Angeles Dodgers,
RTB-MC,Miguel Cabrera,Detroit Tigers,
RTB-MM,Manny Machado,San Diego Padres,
RTB-OA,Ozzie Albies,Atlanta Braves,
RTB-OCR,Oneil Cruz,Pittsburgh Pirates,
RTB-RA,Ronald Acuña Jr.,Atlanta Braves,
RTB-RAL,Cal Raleigh,Seattle Mariners,
RTB-RD,Rafael Devers,Boston Red Sox,
RTB-SS,Seiya Suzuki,Chicago Cubs,
RTB-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
RTB-WS,Will Smith,Los Angeles Dodgers,
