card_number,name,team,designations
126,Philadelphia Phillies,Philadelphia Phillies,TC
136,Kyle Schwarber,Philadelphia Phillies,
139,Bryson Stott,Philadelphia Phillies,
194,J.T. Realmuto,Philadelphia Phillies,
200,Bryce Harper,Philadelphia Phillies,
262,Zack Wheeler,Philadelphia Phillies,
352,Trea Turner,Philadelphia Phillies,
356,José Alvarado,Philadelphia Phillies,
409,Garrett Stubbs,Philadelphia Phillies,
421,Nick Castellanos,Philadelphia Phillies,
456,Cristian Pache,Philadelphia Phillies,
463,Aaron Nola,Philadelphia Phillies,
520,Orion Kerkering,Philadelphia Phillies,RC
528,Matt Strahm,Philadelphia Phillies,
562,Edmundo Sosa,Philadelphia Phillies,
643,Taijuan Walker,Philadelphia Phillies,
658,Weston Wilson,Philadelphia Phillies,RC
661,Whit Merrifield,Philadelphia Phillies,
