card_number,name,team,designations
CF-1,Mike Trout,Angels,
CF-2,Corbin Carroll,Arizona Diamondbacks,
CF-3,Ronald Acuña Jr.,Atlanta Braves,
CF-4,Gunnar Henderson,Baltimore Orioles,
CF-5,Rafael Devers,Boston Red Sox,
CF-6,Dansby Swanson,Chicago Cubs,
CF-7,Luis Robert,Chicago White Sox,
CF-8,Elly De La Cruz,Cincinnati Reds,
CF-9,José Ramírez,Cleveland Guardians,
CF-10,Brenton Doyle,Colorado Rockies,
CF-11,Tarik Skubal,Detroit Tigers,
CF-12,Jose Altuve,Houston Astros,
CF-13,Bobby Witt Jr.,Kansas City Royals,
CF-14,Shohei Ohtani,Los Angeles Dodgers,
CF-15,Sandy Alcantara,Miami Marlins,
CF-16,Christian Yelich,Milwaukee Brewers,
CF-17,Royce Lewis,Minnesota Twins,
CF-18,Francisco Lindor,New York Mets,
CF-19,Aaron Judge,New York Yankees,
CF-20,Lawrence Butler,Athletics,
CF-21,Bryce Harper,Philadelphia Phillies,
CF-22,Paul Skenes,Pittsburgh Pirates,
CF-23,Fernando Tatis Jr.,San Diego Padres,
CF-24,Matt Chapman,San Francisco Giants,
CF-25,Julio Rodríguez,Seattle Mariners,
CF-26,Nolan Arenado,St. Louis Cardinals,
CF-27,Junior Caminero,Tampa Bay Rays,
CF-28,Corey Seager,Texas Rangers,
CF-29,Vladimir Guerrero Jr.,Toronto Blue Jays,
CF-30,James Wood,Washington Nationals,
