card_number,name,team,designations
90CAS-AP,Albert Pujols,St. Louis Cardinals,
90CAS-BB,Barry Bonds,San Francisco Giants,
90CAS-BJ,Bo Jackson,Kansas City Royals,
90CAS-BW,Bobby Witt Jr.,Kansas City Royals,
90CAS-CC,Carlos Correa,Minnesota Twins,
90CAS-CCA,Corbin Carroll,Arizona Diamondbacks,
90CAS-CJ,Chipper Jones,Atlanta Braves,
90CAS-CK,Clayton Kershaw,Los Angeles Dodgers,
90CAS-CR,Cal Ripken Jr.,Baltimore Orioles,
90CAS-DJ,Derek Jeter,New York Yankees,
90CAS-DO,David Ortiz,Boston Red Sox,
90CAS-ED,Elly De La Cruz,Cincinnati Reds,
90CAS-FT,Fernando Tatis Jr.,San Diego Padres,
90CAS-FTH,Frank Thomas,Chicago White Sox,
90CAS-GB,George Brett,Kansas City Royals,
90CAS-GH,Gunnar Henderson,Baltimore Orioles,
90CAS-GM,Greg Maddux,Atlanta Braves,
90CAS-I,Ichiro,Seattle Mariners,
90CAS-JD,Jarren Duran,Boston Red Sox,
90CAS-JM,Jackson Merrill,San Diego Padres,
90CAS-JRA,José Ramírez,Cleveland Guardians,
90CAS-JROD,Julio Rodríguez,Seattle Mariners,
90CAS-JS,Juan Soto,New York Mets,
90CAS-KG,Ken Griffey Jr.,Seattle Mariners,
90CAS-MB,Mookie Betts,Los Angeles Dodgers,
90CAS-MMA,Manny Machado,San Diego Padres,
90CAS-MMC,Mark McGwire,Oakland Athletics,
90CAS-MP,Mike Piazza,New York Mets,
90CAS-MT,Mike Trout,Angels,
90CAS-NA,Nolan Arenado,St. Louis Cardinals,
90CAS-NR,Nolan Ryan,Texas Rangers,
90CAS-PA,Pete Alonso,New York Mets,
90CAS-PS,Paul Skenes,Pittsburgh Pirates,
90CAS-RA,Ronald Acuña Jr.,Atlanta Braves,
90CAS-SI,Shota Imanaga,Chicago Cubs,
90CAS-SK,Sandy Koufax,Los Angeles Dodgers,
90CAS-TS,Tarik Skubal,Detroit Tigers,
90CAS-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
90CAS-WC,William Contreras,Milwaukee Brewers,
90CAS-YA,Yordan Alvarez,Houston Astros,
