card_number,name,team,designations
PPA-AB,Alex Bregman,Houston Astros,
PPA-AE,Alex Verdugo,New York Yankees,
PPA-AG,Andrés Giménez,Cleveland Guardians,
PPA-AR,Anthony Rizzo,New York Yankees,
PPA-AV,Anthony Volpe,New York Yankees,
PPA-AW,Austin Wells,New York Yankees,
PPA-BA,Bo Naylor,Cleveland Guardians,
PPA-BT,Brice Turang,Milwaukee Brewers,
PPA-BW,Bobby Witt Jr.,Kansas City Royals,
PPA-CK,Colt Keith,Detroit Tigers,
PPA-CM,Cedric Mullins,Baltimore Orioles,
PPA-CR,Cole Ragans,Kansas City Royals,
PPA-FA,Francisco Alvarez,New York Mets,
PPA-FL,Francisco Lindor,New York Mets,
PPA-FP,Freddy Peralta,Milwaukee Brewers,
PPA-FT,Fernando Tatis Jr.,San Diego Padres,
PPA-GC,Gerrit Cole,New York Yankees,
PPA-JA,Justyn-Henry Malloy,Detroit Tigers,RC
PPA-JC,Jackson Chourio,Milwaukee Brewers,
PPA-JH,Jazz Chisholm Jr.,New York Yankees,
PPA-JM,Jackson Merrill,San Diego Padres,
PPA-JO,Jhonkensy Noel,Cleveland Guardians,RC
PPA-JR,José Ramírez,Cleveland Guardians,
PPA-JS,Juan Soto,New York Yankees,
PPA-JW,Jesse Winker,New York Mets,
PPA-KC,Kerry Carpenter,Detroit Tigers,
PPA-KM,Kyle Manzardo,Cleveland Guardians,
PPA-KS,Kyle Schwarber,Philadelphia Phillies,
PPA-LA,Luis Arraez,San Diego Padres,
PPA-LC,Luisangel Acuña,New York Mets,RC
PPA-LS,Luis Severino,New York Mets,
PPA-LT,Lane Thomas,Cleveland Guardians,
PPA-MA,Michael Massey,Kansas City Royals,
PPA-MG,Maikel Garcia,Kansas City Royals,
PPA-MH,Michael Harris II,Atlanta Braves,
PPA-MM,Manny Machado,San Diego Padres,
PPA-MV,Mark Vientos,New York Mets,
PPA-PA,Pete Alonso,New York Mets,
PPA-PM,Parker Meadows,Detroit Tigers,
PPA-RG,Riley Greene,Detroit Tigers,
PPA-SA,Sean Manaea,New York Mets,
PPA-SK,Steven Kwan,Cleveland Guardians,
PPA-SL,Seth Lugo,Kansas City Royals,
PPA-SM,Starling Marte,New York Mets,
PPA-SR,Sal Frelick,Milwaukee Brewers,
PPA-TB,Tanner Bibee,Cleveland Guardians,
PPA-TS,Tarik Skubal,Detroit Tigers,
PPA-WC,William Contreras,Milwaukee Brewers,
PPA-XB,Xander Bogaerts,San Diego Padres,
PPA-YA,Yordan Alvarez,Houston Astros,
