card_number,name,team,designations
HURTA-1,Frank Thomas,Chicago White Sox,
HURTA-2,Frank Thomas,Chicago White Sox,
HURTA-3,Frank Thomas,Chicago White Sox,
HURTA-4,Frank Thomas,Chicago White Sox,
HURTA-5,Frank Thomas,Chicago White Sox,
HURTA-6,Frank Thomas,Chicago White Sox,
HURTA-7,Frank Thomas,Chicago White Sox,
HURTA-8,Frank Thomas,Chicago White Sox,
HURTA-9,Frank Thomas,Chicago White Sox,
HURTA-10,Frank Thomas,Chicago White Sox,
HURTA-11,Frank Thomas,Chicago White Sox,
HURTA-12,Frank Thomas,Chicago White Sox,
HURTA-13,Frank Thomas,Chicago White Sox,
HURTA-14,Frank Thomas,Chicago White Sox,
HURTA-15,Frank Thomas,Chicago White Sox,
HURTA-16,Frank Thomas,Chicago White Sox,
HURTA-17,Frank Thomas,Chicago White Sox,
HURTA-18,Frank Thomas,Chicago White Sox,
HURTA-19,Frank Thomas,Chicago White Sox,
HURTA-20,Frank Thomas,Chicago White Sox,
HURTA-21,Frank Thomas,Chicago White Sox,
HURTA-22,Frank Thomas,Chicago White Sox,
HURTA-23,Frank Thomas,Chicago White Sox,
HURTA-24,Frank Thomas,Athletics,
HURTA-25,Frank Thomas,Toronto Blue Jays,
