card_number,name,team,designations
WTA-CK,Clayton Kershaw,Los Angeles Dodgers,
WTA-DS,Dansby Swanson,Chicago Cubs,
WTA-JS,Justin Steele,Chicago Cubs,
WTA-KA,Kevin Alcántara,Chicago Cubs,RC
WTA-MB,Mookie Betts,Los Angeles Dodgers,
WTA-NH,Nico Hoerner,Chicago Cubs,
WTA-PC,Pete Crow-Armstrong,Chicago Cubs,
WTA-SI,Shota Imanaga,Chicago Cubs,
WTA-SO,Shohei Ohtani,Los Angeles Dodgers,
WTA-SS,Seiya Suzuki,Chicago Cubs,
WTA-TH,Teoscar Hernández,Los Angeles Dodgers,
WTA-WB,Walker Buehler,Los Angeles Dodgers,
WTA-WS,Will Smith,Los Angeles Dodgers,
WTA-YY,Yoshinobu Yamamoto,Los Angeles Dodgers,
