card_number,name,team,designations
90ASC-1,Rickey Henderson,Oakland Athletics,
90ASC-2,Shohei Ohtani,Los Angeles Dodgers,
90ASC-3,George Brett,Kansas City Royals,
90ASC-4,Jackson Merrill,San Diego Padres,
90ASC-5,Nolan Arenado,St. Louis Cardinals,
90ASC-6,Elly De La Cruz,Cincinnati Reds,
90ASC-7,David Ortiz / Ted Williams,Boston Red Sox / Boston Red Sox,
90ASC-9,Trea Turner,Philadelphia Phillies,
90ASC-10,Mike Trout,Angels,
90ASC-11,Chipper Jones,Atlanta Braves,
90ASC-12,Aaron Judge,New York Yankees,
90ASC-13,Corbin Carroll,Arizona Diamondbacks,
90ASC-14,Hank Aaron,Atlanta Braves,
90ASC-15,Pete Alonso,New York Mets,
90ASC-16,Ichiro,Seattle Mariners,
90ASC-17,Paul Skenes,Pittsburgh Pirates,
90ASC-18,Carlos Correa,Minnesota Twins,
90ASC-19,Bryce Harper,Philadelphia Phillies,
90ASC-20,Nolan Ryan,Texas Rangers,
90ASC-21,Freddie Freeman,Los Angeles Dodgers,
90ASC-22,Derek Jeter,New York Yankees,
90ASC-23,Juan Soto,New York Mets,
90ASC-24,Jackie Robinson,Brooklyn Dodgers,
90ASC-25,Mark McGwire,Oakland Athletics,
90ASC-26,Bo Jackson,Kansas City Royals,
90ASC-27,Clayton Kershaw,Los Angeles Dodgers,
90ASC-28,Mike Piazza,New York Mets,
90ASC-29,Ronald Acuña Jr.,Atlanta Braves,
90ASC-30,Willie Mays,San Francisco Giants,
90ASC-31,Fernando Tatis Jr.,San Diego Padres,
90ASC-32,José Ramírez,Cleveland Guardians,
90ASC-33,Mookie Betts,Los Angeles Dodgers,
90ASC-34,Ken Griffey Jr.,Seattle Mariners,
90ASC-35,Francisco Lindor,New York Mets,
90ASC-36,Frank Thomas,Chicago White Sox,
90ASC-37,Yordan Alvarez,Houston Astros,
90ASC-38,Albert Pujols,St. Louis Cardinals,
90ASC-39,Cal Ripken Jr.,Baltimore Orioles,
90ASC-40,Gunnar Henderson,Baltimore Orioles,
90ASC-41,Babe Ruth,New York Yankees,
90ASC-42,Hideo Nomo,Los Angeles Dodgers,
90ASC-43,Mickey Mantle,New York Yankees,
90ASC-44,Manny Machado,San Diego Padres,
90ASC-45,Jarren Duran,Boston Red Sox,
90ASC-46,Sandy Koufax,Los Angeles Dodgers,
90ASC-47,Shota Imanaga,Chicago Cubs,
90ASC-48,Julio Rodríguez,Seattle Mariners,
90ASC-49,Vladimir Guerrero Jr.,Toronto Blue Jays,
90ASC-50,Bobby Witt Jr.,Kansas City Royals,
