card_number,name,team,designations
M-1,Francisco Lindor,New York Mets,
M-2,Yordan Alvarez,Houston Astros,
M-3,Shohei Ohtani,Los Angeles Dodgers,
M-4,Bryce Harper,Philadelphia Phillies,
M-5,Jackson Chourio,Milwaukee Brewers,
M-6,Gunnar Henderson,Baltimore Orioles,
M-7,Juan Soto,New York Mets,
M-8,José Ramírez,Cleveland Guardians,
M-9,Corbin Carroll,Arizona Diamondbacks,
M-10,Ronald Acuña Jr.,Atlanta Braves,
M-11,Luisangel Acuña,New York Mets,
M-12,Brooks Lee,Minnesota Twins,
M-13,James Wood,Washington Nationals,
M-14,Dylan Crews,Washington Nationals,
M-15,Coby Mayo,Baltimore Orioles,
M-16,Paul Skenes,Pittsburgh Pirates,
M-17,Shota Imanaga,Chicago Cubs,
M-18,Julio Rodríguez,Seattle Mariners,
M-19,Aaron Judge,New York Yankees,
M-20,Elly De La Cruz,Cincinnati Reds,
