card_number,name,team,designations
OPS-1,Aaron Judge,New York Yankees,
OPS-2,Shohei Ohtani,Los Angeles Dodgers,
OPS-3,Juan Soto,New York Yankees,
OPS-4,Bobby Witt Jr.,Kansas City Royals,
OPS-5,Yordan Alvarez,Houston Astros,
OPS-6,Vladimir Guerrero Jr.,Toronto Blue Jays,
OPS-7,Ketel Marte,Arizona Diamondbacks,
OPS-8,Brent Rooker,Athletics,
OPS-9,Marcell Ozuna,Atlanta Braves,
OPS-10,Bryce Harper,Philadelphia Phillies,
OPS-11,Gunnar Henderson,Baltimore Orioles,
OPS-12,José Ramírez,Cleveland Guardians,
OPS-13,Rafael Devers,Boston Red Sox,
OPS-14,Corey Seager,Texas Rangers,
OPS-15,Mookie Betts,Los Angeles Dodgers,
OPS-16,Freddie Freeman,Los Angeles Dodgers,
OPS-17,Kyle Schwarber,Philadelphia Phillies,
OPS-18,Seiya Suzuki,Chicago Cubs,
OPS-19,Francisco Lindor,New York Mets,
OPS-20,Teoscar Hernández,Los Angeles Dodgers,
OPS-21,Jurickson Profar,San Diego Padres,
OPS-22,Jarren Duran,Boston Red Sox,
OPS-23,William Contreras,Milwaukee Brewers,
OPS-24,Riley Greene,Detroit Tigers,
OPS-25,Jackson Merrill,San Diego Padres,
