card_number,name,team,designations
SS-1,Shohei Ohtani,Los Angeles Dodgers,
SS-2,Aaron Judge,New York Yankees,
SS-3,Juan Soto,New York Mets,
SS-4,Fernando Tatis Jr.,San Diego Padres,
SS-5,James Wood,Washington Nationals,RC
SS-6,Dylan Crews,Washington Nationals,RC
SS-7,Coby Mayo,Baltimore Orioles,RC
SS-8,Brooks Lee,Minnesota Twins,RC
SS-9,Vladimir Guerrero Jr.,Toronto Blue Jays,
SS-10,Julio Rodríguez,Seattle Mariners,
SS-11,Pete Alonso,New York Mets,
SS-12,Ronald Acuña Jr.,Atlanta Braves,
SS-13,Bobby Witt Jr.,Kansas City Royals,
SS-14,Mookie Betts,Los Angeles Dodgers,
SS-15,Luis Robert,Chicago White Sox,
SS-16,Matt Olson,Atlanta Braves,
SS-17,Corey Seager,Texas Rangers,
SS-18,Yordan Alvarez,Houston Astros,
SS-19,Seiya Suzuki,Chicago Cubs,
SS-20,Elly De La Cruz,Cincinnati Reds,
SS-21,Rafael Devers,Boston Red Sox,
SS-22,Corbin Carroll,Arizona Diamondbacks,
SS-23,Mike Trout,Angels,
SS-24,Bryce Harper,Philadelphia Phillies,
SS-25,José Ramírez,Cleveland Guardians,
