card_number,name,team,designations
MEGA-1,Mike Trout,Angels,
MEGA-2,Shohei Ohtani,Los Angeles Dodgers,
MEGA-3,Ronald Acuña Jr.,Atlanta Braves,
MEGA-4,Gunnar Henderson,Baltimore Orioles,
MEGA-5,Elly De La Cruz,Cincinnati Reds,
MEGA-6,Yordan Alvarez,Houston Astros,
MEGA-7,Mookie Betts,Los Angeles Dodgers,
MEGA-8,Aaron Judge,New York Yankees,
MEGA-9,Juan Soto,New York Yankees,
MEGA-10,Bryce Harper,Philadelphia Phillies,
MEGA-11,Fernando Tatis Jr.,San Diego Padres,
MEGA-12,Julio Rodríguez,Seattle Mariners,
MEGA-13,Nolan Arenado,St. Louis Cardinals,
MEGA-14,Bobby Witt Jr.,Kansas City Royals,
MEGA-15,Vladimir Guerrero Jr.,Toronto Blue Jays,
MEGA-16,James Wood,Washington Nationals,RC
MEGA-17,Brooks Lee,Minnesota Twins,RC
MEGA-18,Paul Skenes,Pittsburgh Pirates,
MEGA-19,Corbin Carroll,Arizona Diamondbacks,
MEGA-20,Dylan Crews,Washington Nationals,RC
MS2-1,Shohei Ohtani,Los Angeles Dodgers,
MS2-2,Freddie Freeman,Los Angeles Dodgers,
MS2-3,Manny Machado,San Diego Padres,
MS2-4,Rafael Devers,Boston Red Sox,
MS2-5,Corey Seager,Texas Rangers,
MS2-6,Gerrit Cole,New York Yankees,
MS2-7,Adley Rutschman,Baltimore Orioles,
MS2-8,Juan Soto,New York Mets,
MS2-9,Francisco Lindor,New York Mets,
MS2-10,Spencer Strider,Atlanta Braves,
MS2-11,Jackson Merrill,San Diego Padres,
MS2-12,Shota Imanaga,Chicago Cubs,
MS2-13,Roki Sasaki,Los Angeles Dodgers,RC
MS2-14,Rhett Lowder,Cincinnati Reds,RC
MS2-15,Jace Jung,Detroit Tigers,RC
MS2-16,Coby Mayo,Baltimore Orioles,RC
MS2-17,Jacob Wilson,Athletics,RC
MS2-18,Jackson Jobe,Detroit Tigers,RC
MS2-19,Kevin Alcántara,Chicago Cubs,RC
MS2-20,Luisangel Acuña,New York Mets,RC
