card_number,name,team,designations
MLMDR-AA,Yordan Alvarez / Jose Altuve,Houston Astros / Houston Astros,
MLMDR-AJO,Ozzie Albies / Ronald Acuña Jr.,Atlanta Braves / Atlanta Braves,
MLMDR-ALB,Bryce Harper / Alec Bohm,Philadelphia Phillies / Philadelphia Phillies,
MLMDR-ALL,Francisco Lindor / Pete Alonso,New York Mets / New York Mets,
MLMDR-ARG,Paul Goldschmidt / Nolan Arenado,St. Louis Cardinals / St. Louis Cardinals,
MLMDR-BRT,Kris Bryant / Ezequiel Tovar,Colorado Rockies / Colorado Rockies,
MLMDR-BUR,Brent Rooker / Lawrence Butler,Athletics / Athletics,
MLMDR-DED,Jarren Duran / Rafael Devers,Boston Red Sox / Boston Red Sox,
MLMDR-FRB,Mookie Betts / Freddie Freeman,Los Angeles Dodgers / Los Angeles Dodgers,
MLMDR-GJB,Vladimir Guerrero Jr. / Bo Bichette,Toronto Blue Jays / Toronto Blue Jays,
MLMDR-JSO,Aaron Judge / Juan Soto,New York Yankees / New York Yankees,
MLMDR-JUT,Aaron Judge / Mike Trout,New York Yankees / Angels,
MLMDR-LDI,Jonathan India / Elly De La Cruz,Cincinnati Reds / Cincinnati Reds,
MLMDR-LEC,Royce Lewis / Carlos Correa,Minnesota Twins / Minnesota Twins,
MLMDR-MCC,Oneil Cruz / Andrew McCutchen,Pittsburgh Pirates / Pittsburgh Pirates,
MLMDR-OB,Shohei Ohtani / Mookie Betts,Los Angeles Dodgers / Los Angeles Dodgers,
MLMDR-RAK,Steven Kwan / José Ramírez,Cleveland Guardians / Cleveland Guardians,
MLMDR-RHE,Gunnar Henderson / Adley Rutschman,Baltimore Orioles / Baltimore Orioles,
MLMDR-RJB,Luis Robert Jr. / Andrew Benintendi,Chicago White Sox / Chicago White Sox,
MLMDR-ROA,Randy Arozarena / Julio Rodríguez,Seattle Mariners / Seattle Mariners,
MLMDR-SEJ,Josh Jung / Corey Seager,Texas Rangers / Texas Rangers,
MLMDR-SKG,Tarik Skubal / Riley Greene,Detroit Tigers / Detroit Tigers,
