card_number,name,team,designations
RTBA-ADL,Adley Rutschman,Baltimore Orioles,
RTBA-ADO,Adolis García,Texas Rangers,
RTBA-AG,Adolis García,Texas Rangers,
RTBA-AGI,Andrés Giménez,Cleveland Guardians,
RTBA-ARO,Randy Arozarena,Tampa Bay Rays,
RTBA-BAI,Patrick Bailey,San Francisco Giants,
RTBA-BELL,Cody Bellinger,Chicago Cubs,
RTBA-BREN,Will Brennan,Cleveland Guardians,
RTBA-BRO,Brent Rooker,Athletics,
RTBA-BUR,Alec Burleson,St. Louis Cardinals,
RTBA-BUX,Byron Buxton,Minnesota Twins,
RTBA-CODY,Cody Bellinger,Chicago Cubs,
RTBA-COR,Corbin Carroll,Arizona Diamondbacks,
RTBA-DEV,Rafael Devers,Boston Red Sox,
RTBA-DOY,Brenton Doyle,Colorado Rockies,
RTBA-DUR,Jarren Duran,Boston Red Sox,
RTBA-ELLY,Elly De La Cruz,Cincinnati Reds,
RTBA-GEL,Zack Gelof,Athletics,
RTBA-GHE,Gunnar Henderson,Baltimore Orioles,
RTBA-HOP,Logan O'Hoppe,Angels,
RTBA-JAKE,Jake McCarthy,Arizona Diamondbacks,
RTBA-JMC,Jeff McNeil,New York Mets,
RTBA-JME,Jackson Merrill,San Diego Padres,
RTBA-JUN,Josh Jung,Texas Rangers,
RTBA-KSC,Kyle Schwarber,Philadelphia Phillies,
RTBA-LANG,Wyatt Langford,Texas Rangers,
RTBA-LEE,Brooks Lee,Minnesota Twins,RC
RTBA-MER,Jackson Merrill,San Diego Padres,
RTBA-MHII,Michael Harris II,Atlanta Braves,
RTBA-MMA,Manny Machado,San Diego Padres,
RTBA-MOL,Matt Olson,Atlanta Braves,
RTBA-NOEL,Noelvi Marte,Cincinnati Reds,
RTBA-NOL,Nolan Schanuel,Angels,
RTBA-OZU,Marcell Ozuna,Atlanta Braves,
RTBA-PETE,Pete Alonso,New York Mets,
RTBA-PGO,Paul Goldschmidt,St. Louis Cardinals,
RTBA-RAFA,Ceddanne Rafaela,Boston Red Sox,
RTBA-REAL,J.T. Realmuto,Philadelphia Phillies,
RTBA-SCH,Kyle Schwarber,Philadelphia Phillies,
RTBA-SOTO,Juan Soto,New York Yankees,
RTBA-SPR,George Springer,Toronto Blue Jays,
RTBA-SWAN,Dansby Swanson,Chicago Cubs,
RTBA-TATIS,Fernando Tatis Jr.,San Diego Padres,
RTBA-VGJ,Vladimir Guerrero Jr.,Toronto Blue Jays,
RTBA-WALL,Matt Wallner,Minnesota Twins,
RTBA-WEL,Austin Wells,New York Yankees,
RTBA-WIN,Masyn Winn,St. Louis Cardinals,
RTBA-XAN,Xander Bogaerts,San Diego Padres,
RTBA-YAN,Yandy Díaz,Tampa Bay Rays,
RTBA-YAZ,Mike Yastrzemski,San Francisco Giants,
RTBA-YOR,Yordan Alvarez,Houston Astros,
RTBA-YOSH,Masataka Yoshida,Boston Red Sox,
