card_number,name,team,designations
SOJA-HM,Hideki Matsui,New York Yankees,
SOJA-HM2,Hideki Matsui,Angels,
SOJA-I,Ichiro,Seattle Mariners,
SOJA-I2,Ichiro,Miami Marlins,
SOJA-I3,Ichiro,New York Yankees,
SOJA-KM,Kenta Maeda,Detroit Tigers,
SOJA-MM,Masanori Murakami,San Francisco Giants,
SOJA-MY,Masataka Yoshida,Boston Red Sox,
SOJA-SF,Shintaro Fujinami,New York Mets,
SOJA-SI,Shota Imanaga,Chicago Cubs,
SOJA-SS,Seiya Suzuki,Chicago Cubs,
SOJA-YD,Yu Darvish,San Diego Padres,
SOJA-YD2,Yu Darvish,Los Angeles Dodgers,
SOJA-YD3,Yu Darvish,Chicago Cubs,
SOJA-YM,Yuki Matsui,San Diego Padres,
