card_number,name,team,designations
SOJ-1,Shohei Ohtani,Los Angeles Dodgers,
SOJ-2,Yoshinobu Yamamoto,Los Angeles Dodgers,
SOJ-3,Shota Imanaga,Chicago Cubs,
SOJ-4,Seiya Suzuki,Chicago Cubs,
SOJ-5,Yu Darvish,San Diego Padres,
SOJ-6,Hideki Matsui,New York Yankees,
SOJ-7,Ichiro,Seattle Mariners,
SOJ-8,Kenta Maeda,Detroit Tigers,
SOJ-9,Masataka Yoshida,Boston Red Sox,
SOJ-10,Kodai Senga,New York Mets,
SOJ-11,Shintaro Fujinami,New York Mets,
SOJ-12,Yuki Matsui,San Diego Padres,
SOJ-13,Masanori Murakami,San Francisco Giants,
SOJ-14,Yusei Kikuchi,Houston Astros,
SOJ-15,Ichiro,Miami Marlins,
SOJ-16,Shohei Ohtani,Angels,
SOJ-17,Yu Darvish,Los Angeles Dodgers,
SOJ-18,Ichiro,New York Yankees,
SOJ-19,Yu Darvish,Chicago Cubs,
SOJ-20,Hideki Matsui,Angels,
