card_number,name,team,designations
WTD-1,Shohei Ohtani,Los Angeles Dodgers,
WTD-2,Shota Imanaga,Chicago Cubs,
WTD-3,Will Smith,Los Angeles Dodgers,
WTD-4,Freddie Freeman,Los Angeles Dodgers,
WTD-5,Clayton Kershaw,Los Angeles Dodgers,
WTD-6,Justin Steele,Chicago Cubs,
WTD-7,Teoscar Hernández,Los Angeles Dodgers,
WTD-8,Kevin Alcántara,Chicago Cubs,RC
WTD-9,Yoshinobu Yamamoto,Los Angeles Dodgers,
WTD-10,Seiya Suzuki,Chicago Cubs,
WTD-11,Dansby Swanson,Chicago Cubs,
WTD-12,Mookie Betts,Los Angeles Dodgers,
WTD-13,Nico Hoerner,Chicago Cubs,
WTD-14,Walker Buehler,Los Angeles Dodgers,
WTD-15,Pete Crow-Armstrong,Chicago Cubs,
