card_number,name,team,designations
1,Shohei Ohtani,Los Angeles Dodgers,
20,Coby Mayo,Baltimore Orioles,RC
65,Gunnar Henderson,Baltimore Orioles,
74,Dylan Crews,Washington Nationals,RC
98,Paul Skenes,Pittsburgh Pirates,
100,Bobby Witt Jr.,Kansas City Royals,
101,Nolan Arenado,St. Louis Cardinals,
150,Elly De La Cruz,Cincinnati Reds,
163,Vladimir Guerrero Jr.,Toronto Blue Jays,
181,James Wood,Washington Nationals,RC
200,Mike Trout,Angels,
207,Ronald Acuña Jr.,Atlanta Braves,
215,Manny Machado,San Diego Padres,
231,Yoshinobu Yamamoto,Los Angeles Dodgers,
244,Yordan Alvarez,Houston Astros,
250,Bryce Harper,Philadelphia Phillies,
266,Julio Rodríguez,Seattle Mariners,
300,Aaron Judge,New York Yankees,
317,Brooks Lee,Minnesota Twins,RC
350,Francisco Lindor,New York Mets,
