card_number,name,team,designations
1,Shohei Ohtani,Los Angeles Dodgers,
2,Thairo Estrada,San Francisco Giants,
3,Lane Thomas,Cleveland Guardians,
4,Christian Encarnacion-Strand,Cincinnati Reds,
5,Tarik Skubal / Ronel Blanco / Framber Valdez,Detroit Tigers / Houston Astros / Houston Astros,LL
6,Tyler Gentry,Kansas City Royals,RC
7,Alec Bohm,Philadelphia Phillies,
8,Seth Brown,Athletics,
9,Luis García Jr.,Washington Nationals,
10,Connor Wong,Boston Red Sox,
11,Triston Casas,Boston Red Sox,
12,Bailey Ober,Minnesota Twins,
13,Luis De Los Santos,Toronto Blue Jays,RC
14,Anthony Rizzo,New York Yankees,
15,Mitch Haniger,Seattle Mariners,
16,Carlos Rodriguez,Milwaukee Brewers,RC
17,Jack Kochanowicz,Angels,RC
18,Orelvis Martinez,Toronto Blue Jays,RC
19,Xander Bogaerts,San Diego Padres,
20,Coby Mayo,Baltimore Orioles,RC
21,Nick Lodolo,Cincinnati Reds,
22,Masyn Winn,St. Louis Cardinals,
23,Jorge Soler,Atlanta Braves,
24,Jhonkensy Noel,Cleveland Guardians,RC
25,Cade Povich,Baltimore Orioles,RC
26,Will Brennan,Cleveland Guardians,CC CL
27,Angel Martínez,Cleveland Guardians,RC
28,Trevor Megill,Milwaukee Brewers,
29,José Ramírez / Aaron Judge / Brent Rooker,Cleveland Guardians / New York Yankees / Athletics,LL
30,Pedro León,Houston Astros,RC
31,Tyler Stephenson,Cincinnati Reds,
32,Chayce McDermott,Baltimore Orioles,RC
33,José Berríos,Toronto Blue Jays,
34,Detroit Tigers,Detroit Tigers,TC
35,Anthony Volpe,New York Yankees,
36,Greg Jones,Colorado Rockies,RC
37,Spencer Steer,Cincinnati Reds,
38,Nico Hoerner,Chicago Cubs,
39,San Diego Padres,San Diego Padres,TC
40,Joe Ryan,Minnesota Twins,
41,Alec Burleson,St. Louis Cardinals,
42,Andrew McCutchen,Pittsburgh Pirates,
43,Brady Singer,Kansas City Royals,
44,Brenton Doyle,Colorado Rockies,
45,Brice Turang,Milwaukee Brewers,
46,Tanner Houck,Boston Red Sox,
47,Blake Perkins,Milwaukee Brewers,
48,Michael Toglia,Colorado Rockies,
49,Christian Yelich,Milwaukee Brewers,
50,Leody Taveras,Texas Rangers,
51,Jonah Heim,Texas Rangers,
52,Will Benson,Cincinnati Reds,
53,Chris Taylor,Los Angeles Dodgers,
54,Austin Riley,Atlanta Braves,
55,Jake Rogers,Detroit Tigers,
56,Ranger Suárez,Philadelphia Phillies,
57,Nick Gordon,Miami Marlins,
58,Dylan Cease,San Diego Padres,
59,Royce Lewis,Minnesota Twins,
60,Chicago Cubs,Chicago Cubs,TC
61,Freddy Peralta,Milwaukee Brewers,
62,Jon Gray,Texas Rangers,
63,Jake Bloss,Toronto Blue Jays,RC
64,Ian Happ,Chicago Cubs,
65,Gunnar Henderson,Baltimore Orioles,
66,Logan Gilbert,Seattle Mariners,
67,Trey Sweeney,Detroit Tigers,RC
68,Hunter Feduccia,Los Angeles Dodgers,RC
69,Cedric Mullins,Baltimore Orioles,
70,Patrick Bailey,San Francisco Giants,
71,Tarik Skubal,Detroit Tigers,
72,Tyler Soderstrom,Athletics,FS
73,Luis Castillo,Seattle Mariners,
74,Dylan Crews,Washington Nationals,RC
75,Colin Rea,Milwaukee Brewers,
76,Houston Astros,Houston Astros,TC
77,José Ramírez,Cleveland Guardians,
