card_number,name,team,designations
90AS-AD,Andre Dawson,Chicago Cubs,
90AS-AJ,Andruw Jones,Atlanta Braves,
90AS-AJU,Aaron Judge,New York Yankees,
90AS-AP,Albert Pujols,St. Louis Cardinals,
90AS-AR,Adley Rutschman,Baltimore Orioles,
90AS-ARI,Austin Riley,Atlanta Braves,
90AS-BB,Barry Bonds,San Francisco Giants,
90AS-BBO,Barry Bonds,Pittsburgh Pirates,
90AS-BJ,Bo Jackson,Kansas City Royals,
90AS-BL,Barry Larkin,Cincinnati Reds,
90AS-BP,Buster Posey,San Francisco Giants,
90AS-BW,Bobby Witt Jr.,Kansas City Royals,
90AS-CB,Craig Biggio,Houston Astros,
90AS-CC,Corbin Carroll,Arizona Diamondbacks,
90AS-CF,Carlton Fisk,Boston Red Sox,
90AS-CJ,Chipper Jones,Atlanta Braves,
90AS-CK,Clayton Kershaw,Los Angeles Dodgers,
90AS-CR,Cal Ripken Jr.,Baltimore Orioles,
90AS-CU,Chase Utley,Philadelphia Phillies,
90AS-CY,Christian Yelich,Milwaukee Brewers,
90AS-DE,Dennis Eckersley,Oakland Athletics,
90AS-DJ,Derek Jeter,New York Yankees,
90AS-DM,Dale Murphy,Atlanta Braves,
90AS-DO,David Ortiz,Boston Red Sox,
90AS-DP,Dustin Pedroia,Boston Red Sox,
90AS-DS,Darryl Strawberry,New York Mets,
90AS-DW,David Wright,New York Mets,
90AS-DWI,Dave Winfield,New York Yankees,
90AS-ED,Elly De La Cruz,Cincinnati Reds,
90AS-EM,Edgar Martinez,Seattle Mariners,
90AS-EMU,Eddie Murray,Baltimore Orioles,
90AS-FM,Fred McGriff,Atlanta Braves,
90AS-FT,Frank Thomas,Chicago White Sox,
90AS-GB,George Brett,Kansas City Royals,
90AS-GH,Gunnar Henderson,Baltimore Orioles,
90AS-I,Ichiro,Seattle Mariners,
90AS-JB,Johnny Bench,Cincinnati Reds,
90AS-JBA,Jeff Bagwell,Houston Astros,
90AS-JC,Jazz Chisholm Jr.,New York Yankees,
90AS-JCA,Jose Canseco,Oakland Athletics,
90AS-JD,Jarren Duran,Boston Red Sox,
90AS-JME,Jackson Merrill,San Diego Padres,
90AS-JRA,José Ramírez,Cleveland Guardians,
90AS-JSO,Juan Soto,New York Mets,
90AS-KG,Ken Griffey Jr.,Seattle Mariners,
90AS-MM,Mark McGwire,Oakland Athletics,
90AS-MS,Mike Schmidt,Philadelphia Phillies,
90AS-MT,Mike Trout,Angels,
90AS-NR,Nolan Ryan,Houston Astros,
90AS-OS,Ozzie Smith,St. Louis Cardinals,
90AS-PA,Pete Alonso,New York Mets,
90AS-PG,Paul Goldschmidt,St. Louis Cardinals,
90AS-PM,Paul Molitor,Milwaukee Brewers,
90AS-PS,Paul Skenes,Pittsburgh Pirates,
90AS-RA,Ronald Acuña Jr.,Atlanta Braves,
90AS-RD,Rafael Devers,Boston Red Sox,
90AS-RH,Ryan Howard,Philadelphia Phillies,
90AS-RJ,Randy Johnson,Seattle Mariners,
90AS-RS,Ryne Sandberg,Chicago Cubs,
90AS-RY,Robin Yount,Milwaukee Brewers,
90AS-SC,Steve Carlton,Philadelphia Phillies,
90AS-SGR,Sonny Gray,St. Louis Cardinals,
90AS-SI,Shota Imanaga,Chicago Cubs,
90AS-SK,Sandy Koufax,Los Angeles Dodgers,
90AS-SO,Shohei Ohtani,Los Angeles Dodgers,
90AS-SS,Spencer Strider,Atlanta Braves,
90AS-SSO,Sammy Sosa,Chicago Cubs,
90AS-TG,Tom Glavine,Atlanta Braves,
90AS-VG,Vladimir Guerrero,Montréal Expos,
90AS-VGJ,Vladimir Guerrero Jr.,Toronto Blue Jays,
90AS-WB,Wade Boggs,Boston Red Sox,
90AS-WC,Will Clark,San Francisco Giants,
