card_number,name,team,designations
90A-AD,Andre Dawson,Chicago Cubs,
90A-AJ,Adam Jones,Baltimore Orioles,
90A-AN,Aaron Nola,Philadelphia Phillies,
90A-AP,Andy Pettitte,New York Yankees,
90A-AR,Anthony Rizzo,New York Yankees,
90A-AT,Alan Trammell,Detroit Tigers,
90A-AV,Anthony Volpe,New York Yankees,
90A-AVE,Alex Verdugo,New York Yankees,
90A-BB,Bert Blyleven,California Angels,
90A-BN,Brandon Nimmo,New York Mets,
90A-BR,Bryan Reynolds,Pittsburgh Pirates,
90A-BW,Bernie Williams,New York Yankees,
90A-CA,CJ Abrams,Washington Nationals,
90A-CBE,Carlos Beltrán,New York Yankees,
90A-CBU,Corbin Burnes,Baltimore Orioles,
90A-CC,Colton Cowser,Baltimore Orioles,
90A-CL,Cliff Lee,Philadelphia Phillies,
90A-CM,Christopher Morel,Tampa Bay Rays,
90A-CR,Cole Ragans,Kansas City Royals,
90A-CRA,Cal Raleigh,Seattle Mariners,
90A-CS,Christian Scott,New York Mets,
90A-DJ,David Justice,Atlanta Braves,
90A-DM,Dale Murphy,Atlanta Braves,
90A-DP,Dustin Pedroia,Boston Red Sox,
90A-DS,Dave Stieb,Toronto Blue Jays,
90A-ED,Eric Davis,Cincinnati Reds,
90A-EM,Edgar Martinez,Seattle Mariners,
90A-FJ,Fergie Jenkins,Chicago Cubs,
90A-FM,Fred McGriff,Atlanta Braves,
90A-FP,Freddy Peralta,Milwaukee Brewers,
90A-GK,George Kirby,Seattle Mariners,
90A-GS,George Springer,Toronto Blue Jays,
90A-GSH,Gary Sheffield,Milwaukee Brewers,
90A-IH,Ian Happ,Chicago Cubs,
90A-JA,Jim Abbott,California Angels,
90A-JC,Jazz Chisholm Jr.,New York Yankees,
90A-JCA,Junior Caminero,Tampa Bay Rays,
90A-JG,Juan Gonzalez,Texas Rangers,
90A-JH,Jackson Holliday,Baltimore Orioles,
90A-JM,Jackson Merrill,San Diego Padres,
90A-JP,Jim Palmer,Baltimore Orioles,
90A-JPO,Jorge Posada,New York Yankees,
90A-JRO,Jimmy Rollins,Philadelphia Phillies,
90A-JSA,Johan Santana,Minnesota Twins,
90A-JSM,John Smoltz,Atlanta Braves,
90A-JST,Justin Steele,Chicago Cubs,
90A-JW,Jerome Walton,Chicago Cubs,
90A-KH,Ke'Bryan Hayes,Pittsburgh Pirates,
90A-KT,Kyle Tucker,Houston Astros,
90A-KW,Kerry Wood,Chicago Cubs,
90A-LG,Lourdes Gurriel Jr.,Arizona Diamondbacks,
90A-LN,Lars Nootbaar,St. Louis Cardinals,
90A-MB,Mark Buehrle,Chicago White Sox,
90A-MG,Mark Grace,Chicago Cubs,
90A-MM,Mason Miller,Athletics,
90A-MMU,Max Muncy,Los Angeles Dodgers,
90A-NC,Nestor Cortes,New York Yankees,
90A-NG,Nomar Garciaparra,Boston Red Sox,
90A-PK,Paul Konerko,Chicago White Sox,
90A-PM,Paul Molitor,Milwaukee Brewers,
90A-PS,Paul Skenes,Pittsburgh Pirates,
90A-RH,Ryan Howard,Philadelphia Phillies,
90A-RHO,Rhys Hoskins,Milwaukee Brewers,
90A-RM,Ryan Mountcastle,Baltimore Orioles,
90A-SG,Sonny Gray,St. Louis Cardinals,
90A-SGA,Steve Garvey,Los Angeles Dodgers,
90A-SK,Steven Kwan,Cleveland Guardians,
90A-TGL,Tom Glavine,Atlanta Braves,
90A-TH,Torii Hunter,Minnesota Twins,
90A-TT,Trea Turner,Philadelphia Phillies,
90A-WL,Wyatt Langford,Texas Rangers,
90A-XB,Xander Bogaerts,San Diego Padres,
90A-AA,Adael Amador,Colorado Rockies,RC
