card_number,name,team,designations
90CA-AA,Adael Amador,Colorado Rockies,RC
90CA-AD,Adrian Del Castillo,Arizona Diamondbacks,RC
90CA-AJ,Aaron Judge,New York Yankees,
90CA-AM,Adam Mazur,Miami Marlins,RC
90CA-AMA,Angel Martínez,Cleveland Guardians,RC
90CA-AP,Albert Pujols,St. Louis Cardinals,
90CA-AR,Adley Rutschman,Baltimore Orioles,
90CA-AV,Anthony Volpe,New York Yankees,
90CA-BB,Byron Buxton,Minnesota Twins,
90CA-BD,Brenton Doyle,Colorado Rockies,
90CA-BJ,Bo Jackson,Kansas City Royals,
90CA-BL,Barry Larkin,Cincinnati Reds,
90CA-BLE,Brooks Lee,Minnesota Twins,RC
90CA-BN,Brandon Nimmo,New York Mets,
90CA-BR,Bryan Reynolds,Pittsburgh Pirates,
90CA-BRI,Ben Rice,New York Yankees,RC
90CA-BW,Bobby Witt Jr.,Kansas City Royals,
90CA-CB,Craig Biggio,Houston Astros,
90CA-CC,Corbin Carroll,Arizona Diamondbacks,
90CA-CCO,Carlos Correa,Minnesota Twins,
90CA-CJ,Chipper Jones,Atlanta Braves,
90CA-CK,Clayton Kershaw,Los Angeles Dodgers,
90CA-CMA,Coby Mayo,Baltimore Orioles,RC
90CA-CMC,Chayce McDermott,Baltimore Orioles,RC
90CA-CMO,Christopher Morel,Tampa Bay Rays,
90CA-CN,Connor Norby,Miami Marlins,RC
90CA-CP,Cade Povich,Baltimore Orioles,RC
90CA-CR,Cal Ripken Jr.,Baltimore Orioles,
90CA-CY,Christian Yelich,Milwaukee Brewers,
90CA-DC,Dylan Crews,Washington Nationals,RC
90CA-DF,David Festa,Minnesota Twins,RC
90CA-DJ,David Justice,Atlanta Braves,
90CA-DJE,Derek Jeter,New York Yankees,
90CA-DM,Don Mattingly,New York Yankees,
90CA-DMU,Dale Murphy,Atlanta Braves,
90CA-DR,Drew Romo,Colorado Rockies,RC
90CA-DT,Drew Thorpe,Chicago White Sox,RC
90CA-FT,Frank Thomas,Chicago White Sox,
90CA-FTJ,Fernando Tatis Jr.,San Diego Padres,
90CA-GB,George Brett,Kansas City Royals,
90CA-GC,Gerrit Cole,New York Yankees,
90CA-GG,Gordon Graceffo,St. Louis Cardinals,RC
90CA-HB,Hayden Birdsong,San Francisco Giants,RC
90CA-HW,Hurston Waldrep,Atlanta Braves,RC
90CA-I,Ichiro,Seattle Mariners,
90CA-JB,Jeff Bagwell,Houston Astros,
90CA-JBL,Jake Bloss,Toronto Blue Jays,RC
90CA-JCH,Jackson Chourio,Milwaukee Brewers,
90CA-JG,Juan Gonzalez,Texas Rangers,
90CA-JJ,Jace Jung,Detroit Tigers,RC
90CA-JMM,Justyn-Henry Malloy,Detroit Tigers,RC
90CA-JR,José Ramírez,Cleveland Guardians,
90CA-JS,Johan Santana,New York Mets,
90CA-JSO,Juan Soto,New York Yankees,
90CA-JW,Jacob Wilson,Athletics,RC
90CA-JWO,James Wood,Washington Nationals,RC
90CA-KG,Ken Griffey Jr.,Seattle Mariners,
90CA-LW,Larry Walker,Montréal Expos,
90CA-MMC,Mark McGwire,Oakland Athletics,
90CA-MMY,Michael McGreevy,St. Louis Cardinals,RC
90CA-MO,Matt Olson,Atlanta Braves,
90CA-MS,Mike Schmidt,Philadelphia Phillies,
90CA-MT,Mike Trout,Angels,
90CA-NA,Nolan Arenado,St. Louis Cardinals,
90CA-NAJ,Nacho Alvarez Jr.,Atlanta Braves,RC
90CA-NR,Nolan Ryan,Houston Astros,
90CA-OM,Orelvis Martinez,Toronto Blue Jays,RC
90CA-PA,Pete Alonso,New York Mets,
90CA-PG,Paul Goldschmidt,St. Louis Cardinals,
90CA-RAJ,Ronald Acuña Jr.,Atlanta Braves,
90CA-RD,Rafael Devers,Boston Red Sox,
90CA-RH,Rickey Henderson,Oakland Athletics,
90CA-RL,Rhett Lowder,Cincinnati Reds,RC
90CA-RR,River Ryan,Los Angeles Dodgers,RC
90CA-RS,Ryne Sandberg,Chicago Cubs,
90CA-RY,Robin Yount,Milwaukee Brewers,
90CA-SG,Sonny Gray,St. Louis Cardinals,
90CA-SS,Spencer Steer,Cincinnati Reds,
90CA-SSC,Spencer Schwellenbach,Atlanta Braves,RC
90CA-SW,Shay Whitcomb,Houston Astros,RC
90CA-TL,Tyler Locklear,Seattle Mariners,RC
90CA-TT,Trea Turner,Philadelphia Phillies,
90CA-VGJ,Vladimir Guerrero Jr.,Toronto Blue Jays,
90CA-VGU,Vladimir Guerrero,Montréal Expos,
90CA-WB,Wade Boggs,Boston Red Sox,
90CA-WC,Will Clark,San Francisco Giants,
90CA-WL,Wyatt Langford,Texas Rangers,
90CA-WW,Will Wagner,Toronto Blue Jays,RC
90CA-WWA,Will Warren,New York Yankees,RC
90CA-XB,Xander Bogaerts,San Diego Padres,
90CA-ZD,Zach Dezenzo,Houston Astros,RC
90CA-ZM,Zebby Matthews,Minnesota Twins,RC
