card_number,name,team,designations
BSDA-ARG,Nolan Arenado / Paul Goldschmidt,St. Louis Cardinals / St. Louis Cardinals,
BSDA-BB,Craig Biggio / Jeff Bagwell,Houston Astros / Houston Astros,
BSDA-BOC,Wade Boggs / Roger Clemens,Boston Red Sox / Boston Red Sox,
BSDA-BSE,Corey Seager / Adrián Beltré,Texas Rangers / Texas Rangers,
BSDA-BWJ,George Brett / Bobby Witt Jr.,Kansas City Royals / Kansas City Royals,
BSDA-CCB,Carlos Correa / Byron Buxton,Minnesota Twins / Minnesota Twins,
BSDA-CLP,Buster Posey / Will Clark,San Francisco Giants / San Francisco Giants,
BSDA-FVA,Carlton Fisk / Jason Varitek,Boston Red Sox / Boston Red Sox,
BSDA-GJR,Ken Griffey Jr. / Julio Rodríguez,Seattle Mariners / Seattle Mariners,
BSDA-GJT,Mike Trout / Ken Griffey Jr.,Angels / Seattle Mariners,
BSDA-HRO,Ryan Howard / Jimmy Rollins,Philadelphia Phillies / Philadelphia Phillies,
BSDA-JAH,Reggie Jackson / Rickey Henderson,Oakland Athletics / Oakland Athletics,
BSDA-JAJ,Chipper Jones / Ronald Acuña Jr.,Atlanta Braves / Atlanta Braves,
BSDA-JER,Mariano Rivera / Derek Jeter,New York Yankees / New York Yankees,
BSDA-JHE,Félix Hernández / Randy Johnson,Seattle Mariners / Seattle Mariners,
BSDA-JJ,Andruw Jones / David Justice,Atlanta Braves / Atlanta Braves,
BSDA-JJU,Derek Jeter / Aaron Judge,New York Yankees / New York Yankees,
BSDA-JSO,Juan Soto / Aaron Judge,New York Yankees / New York Yankees,
BSDA-JSOT,Reggie Jackson / Juan Soto,New York Yankees / New York Yankees,
BSDA-JWJ,Bo Jackson / Bobby Witt Jr.,Kansas City Royals / Kansas City Royals,
BSDA-KRS,Kyle Schwarber / John Kruk,Philadelphia Phillies / Philadelphia Phillies,
BSDA-LD,Eric Davis / Barry Larkin,Cincinnati Reds / Cincinnati Reds,
BSDA-MAJ,Chipper Jones / Greg Maddux,Atlanta Braves / Atlanta Braves,
BSDA-MAS,Johan Santana / Joe Mauer,Minnesota Twins / Minnesota Twins,
BSDA-MAX,Greg Maddux / Ryne Sandberg,Chicago Cubs / Chicago Cubs,
BSDA-MBO,Wade Boggs / Don Mattingly,New York Yankees / New York Yankees,
BSDA-MGU,Pedro Martinez / Vladimir Guerrero,Montréal Expos / Montréal Expos,
BSDA-MJO,Dale Murphy / Chipper Jones,Atlanta Braves / Atlanta Braves,
BSDA-MR,Edgar Martinez / Julio Rodríguez,Seattle Mariners / Seattle Mariners,
BSDA-OMA,Pedro Martinez / David Ortiz,Boston Red Sox / Boston Red Sox,
BSDA-OPE,Dustin Pedroia / David Ortiz,Boston Red Sox / Boston Red Sox,
BSDA-PIW,David Wright / Mike Piazza,New York Mets / New York Mets,
BSDA-POW,Buster Posey / Brian Wilson,San Francisco Giants / San Francisco Giants,
BSDA-RAR,Scott Rolen / Nolan Arenado,St. Louis Cardinals / St. Louis Cardinals,
BSDA-RJM,Cal Ripken Jr. / Eddie Murray,Baltimore Orioles / Baltimore Orioles,
BSDA-RJO,Nolan Ryan / Randy Johnson,Houston Astros / Seattle Mariners,
BSDA-SMM,Ozzie Smith / Yadier Molina,St. Louis Cardinals / St. Louis Cardinals,
BSDA-SMT,Spencer Strider / John Smoltz,Atlanta Braves / Atlanta Braves,
BSDA-TJM,Fernando Tatis Jr. / Manny Machado,San Diego Padres / San Diego Padres,
BSDA-TRS,Mike Trout / Tim Salmon,Angels / California Angels,
BSDA-UH,Ryan Howard / Chase Utley,Philadelphia Phillies / Philadelphia Phillies,
BSDA-YAI,Yoshinobu Yamamoto / Shota Imanaga,Los Angeles Dodgers / Chicago Cubs,
BSDA-YY,Robin Yount / Christian Yelich,Milwaukee Brewers / Milwaukee Brewers,
BSDA-ZIW,James Wood / Ryan Zimmerman,Washington Nationals / Washington Nationals,
