card_number,name,team,designations
1,Shohei Ohtani,Los Angeles Dodgers,
18,Orelvis Martinez,Toronto Blue Jays,RC
20,Coby Mayo,Baltimore Orioles,RC
25,Cade Povich,Baltimore Orioles,RC
38,Nico Hoerner,Chicago Cubs,
49,Christian Yelich,Milwaukee Brewers,
65,Gunnar Henderson,Baltimore Orioles,
74,Dylan Crews,Washington Nationals,RC
77,José Ramírez,Cleveland Guardians,
78,Corbin Carroll,Arizona Diamondbacks,
80,Jace Jung,Detroit Tigers,RC
98,Paul Skenes,Pittsburgh Pirates,
100,Bobby Witt Jr.,Kansas City Royals,
103,Spencer Schwellenbach,Atlanta Braves,RC
125,Jackson Merrill,San Diego Padres,
132,Connor Norby,Miami Marlins,RC
141,Kyle Schwarber,Philadelphia Phillies,
145,Matt Olson,Atlanta Braves,
146,Clayton Kershaw,Los Angeles Dodgers,
150,Elly De La Cruz,Cincinnati Reds,
163,Vladimir Guerrero Jr.,Toronto Blue Jays,
178,David Festa,Minnesota Twins,RC
181,James Wood,Washington Nationals,RC
187,Gerrit Cole,New York Yankees,
191,Adael Amador,Colorado Rockies,RC
192,Tyler Locklear,Seattle Mariners,RC
200,Mike Trout,Angels,
205,Rhett Lowder,Cincinnati Reds,RC
207,Ronald Acuña Jr.,Atlanta Braves,
213,Grant McCray,San Francisco Giants,RC
217,Rece Hinds,Cincinnati Reds,RC
220,Jackson Holliday,Baltimore Orioles,
221,Matt Chapman,San Francisco Giants,
223,Nacho Alvarez Jr.,Atlanta Braves,RC
231,Yoshinobu Yamamoto,Los Angeles Dodgers,
244,Yordan Alvarez,Houston Astros,
250,Bryce Harper,Philadelphia Phillies,
253,Hurston Waldrep,Atlanta Braves,RC
260,Jose Altuve,Houston Astros,
266,Julio Rodríguez,Seattle Mariners,
273,River Ryan,Los Angeles Dodgers,RC
283,Zebby Matthews,Minnesota Twins,RC
300,Aaron Judge,New York Yankees,
314,Jacob Wilson,Athletics,RC
317,Brooks Lee,Minnesota Twins,RC
320,Drew Thorpe,Chicago White Sox,RC
337,Ben Rice,New York Yankees,RC
364,Ozzie Albies,Atlanta Braves,
369,Mason Montgomery,Tampa Bay Rays,RC
384,Ben Casparius,Los Angeles Dodgers,RC
408,Kumar Rocker,Texas Rangers,RC
422,Caden Dana,Angels,RC
425,Billy Cook,Pittsburgh Pirates,RC
430,Will Wagner,Toronto Blue Jays,RC
438,Samuel Aldegheri,Angels,RC
450,Trea Turner,Philadelphia Phillies,
454,Aaron Nola,Philadelphia Phillies,
455,Wyatt Langford,Texas Rangers,
463,Thomas Saggese,St. Louis Cardinals,RC
477,Junior Caminero,Tampa Bay Rays,
483,Ty Madden,Detroit Tigers,RC
490,Jackson Jobe,Detroit Tigers,RC
524,Luisangel Acuña,New York Mets,RC
530,Byron Buxton,Minnesota Twins,
541,Jared Jones,Pittsburgh Pirates,
550,Pete Alonso,New York Mets,
558,Roki Sasaki,Los Angeles Dodgers,RC
573,Hyeseong Kim,Los Angeles Dodgers,RC
578,Kevin Alcántara,Chicago Cubs,RC
587,Jarren Duran,Boston Red Sox,
590,Jasson Domínguez,New York Yankees,
600,Fernando Tatis Jr.,San Diego Padres,
603,Cal Raleigh,Seattle Mariners,
650,Adley Rutschman,Baltimore Orioles,
653,Javier Sanoja,Miami Marlins,RC
656,Jairo Iriarte,Chicago White Sox,RC
659,Nick Yorke,Pittsburgh Pirates,RC
665,Keider Montero,Detroit Tigers,RC
670,Richard Fitts,Boston Red Sox,RC
699,Hayden Birdsong,San Francisco Giants,RC
700,Juan Soto,New York Mets,
