card_number,name,team,designations
ATT-1,Aaron Judge,New York Yankees,
ATT-2,Juan Soto,New York Yankees,
ATT-3,Shohei Ohtani,Los Angeles Dodgers,
ATT-4,Emmanuel Clase,Cleveland Guardians,
ATT-5,Bryce Harper,Philadelphia Phillies,
ATT-6,William Contreras,Milwaukee Brewers,
ATT-7,Paul Skenes,Pittsburgh Pirates,
ATT-8,Jarren Duran,Boston Red Sox,
ATT-9,Tarik Skubal,Detroit Tigers,
ATT-10,Ketel Marte,Arizona Diamondbacks,
ATT-11,Bobby Witt Jr.,Kansas City Royals,
ATT-12,José Ramírez,Cleveland Guardians,
