card_number,name,team,designations
FP-1,Jason Kelce,Philadelphia Phillies,
FP-2,Masanori Murakami San Francsico,Giants,
FP-3,Juju Watkins,Los Angeles Dodgers,
FP-4,Coach Al,New York Yankees,
FP-5,Jayson Tatum,St. Louis Cardinals,
FP-6,Carl Radke,Pittsburgh Pirates,
FP-7,Chipper Jones,Atlanta Braves,
FP-8,Adrían Beltré,Texas Rangers,
FP-9,Lauren Alaina,Chicago Cubs,
FP-10,C.J. Stroud,Houston Astros,
FP2-1,Joey Graziadei,Philadelphia Phillies,
FP2-2,The Miz,Cleveland Guardians,
FP2-3,Rickey Henderson,Oakland Athletics,
FP2-4,Jenn Tran,Boston Red Sox,
FP2-5,Mark Long,Arizona Diamondbacks,
