card_number,name,team,designations
CTH-1,Randy Johnson,Arizona Diamondbacks,
CTH-2,Chipper Jones,Atlanta Braves,
CTH-3,Ty Cobb,Detroit Tigers,
CTH-4,Hank Aaron,Atlanta Braves,
CTH-5,Cal Ripken Jr.,Baltimore Orioles,
CTH-6,Stan Musial,St. Louis Cardinals,
CTH-7,Ted Williams,Boston Red Sox,
CTH-8,Jackie Robinson,Brooklyn Dodgers,
CTH-9,Johnny Bench,Cincinnati Reds,
CTH-10,Ernie Banks,Chicago Cubs,
CTH-11,Nolan Ryan,Houston Astros,
CTH-12,George Brett,Kansas City Royals,
CTH-13,Sandy Koufax,Los Angeles Dodgers,
CTH-14,Babe Ruth,New York Yankees,
CTH-15,Mickey Mantle,New York Yankees,
CTH-16,Reggie Jackson,New York Yankees,
CTH-17,Derek Jeter,New York Yankees,
CTH-18,Rickey Henderson,Oakland Athletics,
CTH-19,Mike Schmidt,Philadelphia Phillies,
CTH-20,Roberto Clemente,Pittsburgh Pirates,
CTH-21,Tony Gwynn,San Diego Padres,
CTH-22,Willie Mays,San Francisco Giants,
CTH-23,Ken Griffey Jr.,Seattle Mariners,
CTH-24,Ichiro,Seattle Mariners,
CTH-25,Albert Pujols,St. Louis Cardinals,
