card_number,name,team,designations,is_short_print
KZSP-1,Randy Johnson,Arizona Diamondbacks,,true
KZSP-2,Greg Maddux,Atlanta Braves,,true
KZSP-3,Chris Sale,Atlanta Braves,,true
KZSP-4,Roger Clemens,New York Yankees,,true
KZSP-5,Pedro Martinez,Boston Red Sox,,true
KZSP-6,Shota Imanaga,Chicago Cubs,,true
KZSP-7,Tarik Skubal,Detroit Tigers,,true
KZSP-8,Nolan Ryan,Houston Astros,,true
KZSP-9,Justin Verlander,San Francisco Giants,,true
KZSP-10,Clayton Kershaw,Los Angeles Dodgers,,true
KZSP-11,Shohei Ohtani,Los Angeles Dodgers,,true
KZSP-12,Yoshinobu Yamamoto,Los Angeles Dodgers,,true
KZSP-13,Sandy Koufax,Los Angeles Dodgers,,true
KZSP-14,Gerrit Cole,New York Yankees,,true
KZSP-15,Paul Skenes,Pittsburgh Pirates,,true
KZSP-16,Jackson Jobe,Detroit Tigers,RC,true
KZSP-17,Kumar Rocker,Texas Rangers,RC,true
KZSP-18,Blake Snell,Los Angeles Dodgers,,true
KZSP-19,Satchel Paige,St. Louis Browns,,true
KZSP-20,Spencer Strider,Atlanta Braves,,true
KZSP-21,Max Scherzer,Toronto Blue Jays,,true
KZSP-22,Jacob deGrom,Texas Rangers,,true
KZSP-23,Yu Darvish,San Diego Padres,,true
KZSP-24,Roki Sasaki,Los Angeles Dodgers,RC,true
KZSP-25,Aaron Nola,Philadelphia Phillies,,true
