card_number,name,team,designations
PLAK-1,Carlos Peña,Tampa Bay Rays,
PLAK-2,Albert Pujols,St. Louis Cardinals,
PLAK-3,Ronald Acuña Jr.,Atlanta Braves,
PLAK-4,Elly De La Cruz,Cincinnati Reds,
PLAK-5,Oneil Cruz,Pittsburgh Pirates,
PLAK-6,Vladimir Guerrero Jr.,Toronto Blue Jays,
PLAK-7,Juan Soto,New York Yankees,
PLAK-8,Fernando Tatis Jr.,San Diego Padres,
PLAK-9,Julio Rodríguez,Seattle Mariners,
PLAK-10,Manny Machado,San Diego Padres,
PLAK-11,Francisco Lindor,New York Mets,
PLAK-12,José Ramírez,Cleveland Guardians,
PLAK-13,Carlos Correa,Minnesota Twins,
PLAK-14,Yordan Alvarez,Houston Astros,
PLAK-15,Rafael Devers,Boston Red Sox,
PLAK-16,David Ortiz,Boston Red Sox,
PLAK-17,Adrian Beltré,Texas Rangers,
PLAK-18,Vladimir Guerrero,Montréal Expos,
PLAK-19,Jackson Chourio,Milwaukee Brewers,
PLAK-20,Teoscar Hernández,Los Angeles Dodgers,
PLAK-21,Ketel Marte,Arizona Diamondbacks,
PLAK-22,Marcell Ozuna,Atlanta Braves,
PLAK-23,Sammy Sosa,Chicago Cubs,
PLAK-24,Roberto Clemente,Pittsburgh Pirates,
PLAK-25,Adolis García,Texas Rangers,
PLAK-26,Mike Trout,Angels,
PLAK-27,Jasson Domínguez,New York Yankees,
PLAK-28,Junior Caminero,Tampa Bay Rays,
PLAK-29,Luis Robert Jr.,Chicago White Sox,
PLAK-30,Randy Arozarena,Seattle Mariners,
PLAK-31,Shohei Ohtani,Los Angeles Dodgers,
PLAK-32,Aaron Judge,New York Yankees,
PLAK-33,Juan Soto,New York Mets,
PLAK-34,Bryce Harper,Philadelphia Phillies,
PLAK-35,Pete Alonso,New York Mets,
PLAK-36,Bobby Witt Jr.,Kansas City Royals,
PLAK-37,Mookie Betts,Los Angeles Dodgers,
PLAK-38,Gunnar Henderson,Baltimore Orioles,
PLAK-39,Freddie Freeman,Los Angeles Dodgers,
PLAK-40,Luisangel Acuña,New York Mets,RC
PLAK-41,Kevin Alcántara,Chicago Cubs,RC
PLAK-42,James Wood,Washington Nationals,RC
PLAK-43,Dylan Crews,Washington Nationals,RC
PLAK-44,Salvador Perez,Kansas City Royals,
PLAK-45,Ken Griffey Jr.,Seattle Mariners,
PLAK-46,Kyle Schwarber,Philadelphia Phillies,
PLAK-47,Jackson Merrill,San Diego Padres,
PLAK-48,Nolan Arenado,St. Louis Cardinals,
PLAK-49,Miguel Cabrera,Detroit Tigers,
PLAK-50,Manny Ramirez,Boston Red Sox,
