card_number,name,team,designations
MS2-1,Shohei Ohtani,Los Angeles Dodgers,
MS2-2,Freddie Freeman,Los Angeles Dodgers,
MS2-3,Manny Machado,San Diego Padres,
MS2-4,Rafael Devers,Boston Red Sox,
MS2-5,Corey Seager,Texas Rangers,
MS2-6,Gerrit Cole,New York Yankees,
MS2-7,Adley Rutschman,Baltimore Orioles,
MS2-8,Juan Soto,New York Mets,
MS2-9,Francisco Lindor,New York Mets,
MS2-10,Spencer Strider,Atlanta Braves,
MS2-11,Jackson Merrill,San Diego Padres,
MS2-12,Shota Imanaga,Chicago Cubs,
MS2-13,Roki Sasaki,Los Angeles Dodgers,RC
MS2-14,Rhett Lowder,Cincinnati Reds,RC
MS2-15,Jace Jung,Detroit Tigers,RC
MS2-16,Coby Mayo,Baltimore Orioles,RC
MS2-17,Jacob Wilson,Athletics,RC
MS2-18,Jackson Jobe,Detroit Tigers,RC
MS2-19,Kevin Alcántara,Chicago Cubs,RC
MS2-20,Luisangel Acuña,New York Mets,RC
