card_number,name,team,designations
T90R-AB,Alex Bregman,Houston Astros,
T90R-AJ,Aaron Judge,New York Yankees,
T90R-AN,Aaron Nola,Philadelphia Phillies,
T90R-AP,Albert Pujols,St. Louis Cardinals,
T90R-AR,Austin Riley,Atlanta Braves,
T90R-ARU,Adley Rutschman,Baltimore Orioles,
T90R-ARZ,Anthony Rizzo,New York Yankees,
T90R-AV,Anthony Volpe,New York Yankees,
T90R-BH,Bryce Harper,Philadelphia Phillies,
T90R-BL,Brooks Lee,Minnesota Twins,RC
T90R-BN,Brandon Nimmo,New York Mets,
T90R-BRE,Bryan Reynolds,Pittsburgh Pirates,
T90R-BS,Bryson Stott,Philadelphia Phillies,
T90R-CA,CJ Abrams,Washington Nationals,
T90R-CBU,Corbin Burnes,Baltimore Orioles,
T90R-CC,Corbin Carroll,Arizona Diamondbacks,
T90R-CCO,Carlos Correa,Minnesota Twins,
T90R-CJ,Chipper Jones,Atlanta Braves,
T90R-CM,Coby Mayo,Baltimore Orioles,RC
T90R-CR,Cal Ripken Jr.,Baltimore Orioles,
T90R-CY,Christian Yelich,Milwaukee Brewers,
T90R-DC,Dylan Crews,Washington Nationals,RC
T90R-DJ,Derek Jeter,New York Yankees,
T90R-DO,David Ortiz,Boston Red Sox,
T90R-DS,Dansby Swanson,Chicago Cubs,
T90R-ED,Elly De La Cruz,Cincinnati Reds,
T90R-FF,Freddie Freeman,Los Angeles Dodgers,
T90R-FL,Francisco Lindor,New York Mets,
T90R-FT,Frank Thomas,Chicago White Sox,
T90R-FTJ,Fernando Tatis Jr.,San Diego Padres,
T90R-GC,Gerrit Cole,New York Yankees,
T90R-GH,Gunnar Henderson,Baltimore Orioles,
T90R-GKI,George Kirby,Seattle Mariners,
T90R-GS,George Springer,Toronto Blue Jays,
T90R-HBR,Hunter Brown,Houston Astros,
T90R-HG,Hunter Greene,Cincinnati Reds,
T90R-HKT,Heston Kjerstad,Baltimore Orioles,
T90R-I,Ichiro,Seattle Mariners,
T90R-JAJ,Jace Jung,Detroit Tigers,RC
T90R-JC,Junior Caminero,Tampa Bay Rays,
T90R-JCH,Jackson Chourio,Milwaukee Brewers,
T90R-JCJ,Jazz Chisholm Jr.,New York Yankees,
T90R-JD,Jasson Domínguez,New York Yankees,
T90R-JDU,Jarren Duran,Boston Red Sox,
T90R-JH,Jackson Holliday,Baltimore Orioles,
T90R-JLA,Jordan Lawlar,Arizona Diamondbacks,
T90R-JM,Jackson Merrill,San Diego Padres,
T90R-JOW,Jordan Westburg,Baltimore Orioles,
T90R-JR,Julio Rodríguez,Seattle Mariners,
T90R-JRA,José Ramírez,Cleveland Guardians,
T90R-JS,Juan Soto,New York Yankees,
T90R-JTR,J.T. Realmuto,Philadelphia Phillies,
T90R-JWO,James Wood,Washington Nationals,RC
T90R-KB,Kris Bryant,Colorado Rockies,
