card_number,name,team,designations
8B-1,Shohei Ohtani,Los Angeles Dodgers,
8B-2,Mike Trout,Angels,
8B-3,Ronald Acuña Jr.,Atlanta Braves,
8B-4,Aaron Judge,New York Yankees,
8B-5,Bryce Harper,Philadelphia Phillies,
8B-6,Elly De La Cruz,Cincinnati Reds,
8B-7,Julio Rodríguez,Seattle Mariners,
8B-8,Bobby Witt Jr.,Kansas City Royals,
8B-9,Vladimir Guerrero Jr.,Toronto Blue Jays,
8B-10,Gunnar Henderson,Baltimore Orioles,
8B-11,Nolan Arenado,St. Louis Cardinals,
8B-12,Fernando Tatis Jr.,San Diego Padres,
8B-13,Paul Skenes,Pittsburgh Pirates,
8B-14,Yordan Alvarez,Houston Astros,
8B-15,Mookie Betts,Los Angeles Dodgers,
8B-16,James Wood,Washington Nationals,RC
8B-17,Brooks Lee,Minnesota Twins,RC
8B-18,Coby Mayo,Baltimore Orioles,RC
8B-19,Dylan Crews,Washington Nationals,RC
8B-20,Francisco Lindor,New York Mets,
8B-21,Juan Soto,New York Yankees,
8B-22,Jackson Jobe,Detroit Tigers,RC
8B-23,Luisangel Acuña,New York Mets,RC
8B-24,Jacob Wilson,Athletics,RC
8B-25,Kevin Alcántara,Chicago Cubs,RC
