card_number,name,team,designations
CC-AA,Andrew Abbott,Cincinnati Reds,
CC-AB,Alex Bregman,Houston Astros,
CC-BB,Byron Buxton,Minnesota Twins,
CC-BR,Bryan Reynolds,Pittsburgh Pirates,
CC-CA,CJ Abrams,Washington Nationals,
CC-CC,Colton Cowser,Baltimore Orioles,
CC-CR,Ceddanne Rafaela,Boston Red Sox,
CC-CRU,Oneil Cruz,Pittsburgh Pirates,
CC-FL,Francisco Lindor,New York Mets,
CC-FT,Fernando Tatis Jr.,San Diego Padres,
CC-FV,Framber Valdez,Houston Astros,
CC-GH,Gunnar Henderson,Baltimore Orioles,
CC-JD,Jarren Duran,Boston Red Sox,
CC-JM,Joe Musgrove,San Diego Padres,
CC-JP,Jeremy Peña,Houston Astros,
CC-JPC,J.P. Crawford,Seattle Mariners,
CC-JR,Julio Rodríguez,Seattle Mariners,
CC-JV,Justin Verlander,Houston Astros,
CC-JW,Jordan Westburg,Baltimore Orioles,
CC-KH,Ke'Bryan Hayes,Pittsburgh Pirates,
CC-KT,Kyle Tucker,Houston Astros,
CC-LC,Luis Castillo,Seattle Mariners,
CC-MB,Michael Busch,Chicago Cubs,
CC-MMA,Manny Machado,San Diego Padres,
CC-MT,Mike Trout,Angels,
CC-MY,Masataka Yoshida,Boston Red Sox,
CC-PL,Pablo López,Minnesota Twins,
CC-RLO,Reynaldo López,Atlanta Braves,
CC-SF,Sal Frelick,Milwaukee Brewers,
CC-VGJ,Vladimir Guerrero Jr.,Toronto Blue Jays,
CC-WA,Wilyer Abreu,Boston Red Sox,
CC-WP,Wenceel Pérez,Detroit Tigers,
CC-XB,Xander Bogaerts,San Diego Padres,
CC-YA,Yordan Alvarez,Houston Astros,
CC-YD,Yu Darvish,San Diego Padres,
CC-ZN,Zach Neto,Angels,
CC2-AB,Andrew Benintendi,Chicago White Sox,
CC2-AM,Andrew McCutchen,Pittsburgh Pirates,
CC2-AP,Andy Pages,Los Angeles Dodgers,
CC2-AS,AJ Smith-Shawver,Atlanta Braves,
CC2-AU,Adley Rutschman,Baltimore Orioles,
CC2-BB,Bo Bichette,Toronto Blue Jays,
CC2-BE,Brooks Lee,Minnesota Twins,RC
CC2-BH,Bryce Harper,Philadelphia Phillies,
CC2-BL,Brandon Lowe,Tampa Bay Rays,
CC2-BS,Bryson Stott,Philadelphia Phillies,
CC2-BU,Byron Buxton,Minnesota Twins,
CC2-CE,Corey Seager,Texas Rangers,
CC2-CM,Christopher Morel,Tampa Bay Rays,
CC2-CR,Ceddanne Rafaela,Boston Red Sox,
CC2-CS,Chris Sale,Atlanta Braves,
CC2-DS,Davis Schneider,Toronto Blue Jays,
CC2-DW,Dansby Swanson,Chicago Cubs,
CC2-ET,Ezequiel Tovar,Colorado Rockies,
CC2-FA,Francisco Alvarez,New York Mets,
CC2-FF,Freddie Freeman,Los Angeles Dodgers,
CC2-FL,Francisco Lindor,New York Mets,
CC2-GE,Gavin Sheets,Chicago White Sox,
CC2-GH,Gunnar Henderson,Baltimore Orioles,
CC2-GM,Garrett Mitchell,Milwaukee Brewers,
CC2-GS,George Springer,Toronto Blue Jays,
CC2-JB,Javier Báez,Detroit Tigers,
CC2-JM,José Ramírez,Cleveland Guardians,
CC2-JR,Julio Rodríguez,Seattle Mariners,
CC2-KS,Kyle Schwarber,Philadelphia Phillies,
CC2-LR,Luis Robert Jr.,Chicago White Sox,
CC2-MO,Matt Olson,Atlanta Braves,
CC2-MY,Masataka Yoshida,Boston Red Sox,
CC2-NA,Nolan Arenado,St. Louis Cardinals,
CC2-NM,Noelvi Marte,Cincinnati Reds,
CC2-OC,Oneil Cruz,Pittsburgh Pirates,
CC2-PC,Pete Crow-Armstrong,Chicago Cubs,
CC2-PG,Paul Goldschmidt,St. Louis Cardinals,
CC2-PL,Pablo López,Minnesota Twins,
CC2-RC,Ronald Acuña Jr.,Atlanta Braves,
CC2-SL,Sal Frelick,Milwaukee Brewers,
CC2-ST,Spencer Torkelson,Detroit Tigers,
CC2-TS,Tarik Skubal,Detroit Tigers,
CC2-TT,Trea Turner,Philadelphia Phillies,
CC2-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
CC2-WC,William Contreras,Milwaukee Brewers,
CC2-WP,Wenceel Pérez,Detroit Tigers,
CC2-ZG,Zac Gallen,Arizona Diamondbacks,
