card_number,name,team,designations
HLAR-AD,Andre Dawson,Chicago Cubs,
HLAR-AJU,Aaron Judge,New York Yankees,
HLAR-ARZ,Anthony Rizzo,New York Yankees,
HLAR-BW,Bobby Witt Jr.,Kansas City Royals,
HLAR-CC,Corbin Carroll,Arizona Diamondbacks,
HLAR-EMU,Eddie Murray,Baltimore Orioles,
HLAR-FM,Fred McGriff,Atlanta Braves,
HLAR-JB,Johnny Bench,Cincinnati Reds,
HLAR-JBA,Jeff Bagwell,Houston Astros,
HLAR-JR,Jim Rice,Boston Red Sox,
HLAR-JRA,José Ramírez,Cleveland Guardians,
HLAR-JS,Juan Soto,New York Yankees,
HLAR-KG,Ken Griffey Jr.,Seattle Mariners,
HLAR-KT,Kyle Tucker,Houston Astros,
HLAR-MM,Mark McGwire,Oakland Athletics,
HLAR-MS,Mike Schmidt,Philadelphia Phillies,
HLAR-MT,Mike Trout,Angels,
HLAR-RH,Ryan Howard,Philadelphia Phillies,
HLAR-RS,Ryne Sandberg,Chicago Cubs,
HLAR-SO,Shohei Ohtani,Los Angeles Dodgers,
HLAR-TT,Trea Turner,Philadelphia Phillies,
HLAR-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
HLAR-WC,Will Clark,San Francisco Giants,
HLAR2-AB,Alex Bregman,Houston Astros,
HLAR2-ADA,Andre Dawson,Montréal Expos,
HLAR2-AJ,Aaron Judge,New York Yankees,
HLAR2-AR,Alex Rodriguez,Seattle Mariners,
HLAR2-CF,Carlton Fisk,Chicago White Sox,
HLAR2-CJ,Chipper Jones,Atlanta Braves,
HLAR2-CM,Coby Mayo,Baltimore Orioles,RC
HLAR2-CMO,Christopher Morel,Tampa Bay Rays,
HLAR2-CY,Christian Yelich,Milwaukee Brewers,
HLAR2-FL,Francisco Lindor,New York Mets,
HLAR2-GS,George Springer,Toronto Blue Jays,
HLAR2-GSH,Gary Sheffield,New York Yankees,
HLAR2-JB,Johnny Bench,Cincinnati Reds,
HLAR2-JP,Jorge Posada,New York Yankees,
HLAR2-MM,Mark McGwire,St. Louis Cardinals,
HLAR2-MT,Mike Trout,Angels,
HLAR2-OS,Ozzie Smith,St. Louis Cardinals,
HLAR2-PM,Paul Molitor,Toronto Blue Jays,
HLAR2-RS,Ryne Sandberg,Chicago Cubs,
HLAR2-RY,Robin Yount,Milwaukee Brewers,
HLAR2-SK,Steven Kwan,Cleveland Guardians,
HLAR2-SO,Shohei Ohtani,Los Angeles Dodgers,
HLAR2-SR,Scott Rolen,St. Louis Cardinals,
HLAR2-SSO,Sammy Sosa,Chicago Cubs,
HLAR-AB,Adrian Beltré,Texas Rangers,
HLAR-ABR,Alex Bregman,Houston Astros,
HLAR-AJ,Andruw Jones,Atlanta Braves,
HLAR-ARI,Austin Riley,Atlanta Braves,
HLAR-ARO,Alex Rodriguez,New York Yankees,
HLAR-CF,Carlton Fisk,Boston Red Sox,
HLAR-CR,Cal Ripken Jr.,Baltimore Orioles,
HLAR-CS,Corey Seager,Texas Rangers,
HLAR-DJ,Derek Jeter,New York Yankees,
HLAR-DMU,Dale Murphy,Atlanta Braves,
HLAR-DO,David Ortiz,Boston Red Sox,
HLAR-DS,Darryl Strawberry,New York Mets,
HLAR-EM,Edgar Martinez,Seattle Mariners,
HLAR-FT,Frank Thomas,Chicago White Sox,
HLAR-FTJ,Fernando Tatis Jr.,San Diego Padres,
HLAR-JCH,Jackson Chourio,Milwaukee Brewers,
HLAR-JH,Jackson Holliday,Baltimore Orioles,
HLAR-JM,Jackson Merrill,San Diego Padres,
HLAR-KS,Kyle Schwarber,Philadelphia Phillies,
HLAR-MB,Mookie Betts,Los Angeles Dodgers,
HLAR-MMO,Manny Machado,San Diego Padres,
HLAR-MO,Matt Olson,Atlanta Braves,
HLAR-MP,Mike Piazza,Los Angeles Dodgers,
HLAR-MPZ,Mike Piazza,New York Mets,
HLAR-NA,Nolan Arenado,St. Louis Cardinals,
HLAR-OA,Ozzie Albies,Atlanta Braves,
HLAR-PA,Pete Alonso,New York Mets,
HLAR-PG,Paul Goldschmidt,St. Louis Cardinals,
HLAR-RA,Randy Arozarena,Seattle Mariners,
HLAR-RAJ,Ronald Acuña Jr.,Atlanta Braves,
HLAR-RD,Rafael Devers,Boston Red Sox,
HLAR-RJ,Reggie Jackson,Oakland Athletics,
HLAR-RJA,Reggie Jackson,New York Yankees,
HLAR-SS,Sammy Sosa,Chicago Cubs,
