card_number,name,team,designations
ITN-AB,Alec Bohm,Philadelphia Phillies,
ITN-ABE,Andrew Benintendi,Chicago White Sox,
ITN-AG,Alex Bregman,Houston Astros,
ITN-AN,Aaron Nola,Philadelphia Phillies,
ITN-AR,Adley Rutschman,Baltimore Orioles,
ITN-ARI,Austin Riley,Atlanta Braves,
ITN-BB,Byron Buxton,Minnesota Twins,
ITN-BH,Bryce Harper,Philadelphia Phillies,
ITN-BN,Brandon Nimmo,New York Mets,
ITN-BR,Bryan Reynolds,Pittsburgh Pirates,
ITN-BS,Bryson Stott,Philadelphia Phillies,
ITN-CA,Corbin Carroll,Arizona Diamondbacks,
ITN-CC,Carlos Correa,Minnesota Twins,
ITN-CF,Ceddanne Rafaela,Boston Red Sox,
ITN-CK,Colt Keith,Detroit Tigers,
ITN-CM,Christoper Morel,Chicago Cubs,
ITN-CMU,Cedric Mullins,Baltimore Orioles,
ITN-CR,Cal Raleigh,Seattle Mariners,
ITN-CY,Christian Yelich,Milwaukee Brewers,
ITN-DC,Dylan Cease,San Diego Padres,
ITN-DS,Dansby Swanson,Chicago Cubs,
ITN-DW,Devin Williams,Milwaukee Brewers,
ITN-ED,Elly De La Cruz,Cincinnati Reds,
ITN-ET,Ezequiel Tovar,Colorado Rockies,
ITN-FA,Francisco Alvarez,New York Mets,
ITN-FL,Francisco Lindor,New York Mets,
ITN-FP,Freddy Peralta,Milwaukee Brewers,
ITN-FT,Fernando Tatis Jr.,San Diego Padres,
ITN-GM,Garrett Mitchell,Milwaukee Brewers,
ITN-GO,Gabriel Moreno,Arizona Diamondbacks,
ITN-GS,George Springer,Toronto Blue Jays,
ITN-HG,Hunter Greene,Cincinnati Reds,
ITN-IH,Ian Happ,Chicago Cubs,
ITN-JA,Junior Caminero,Tampa Bay Rays,
ITN-JB,José Berríos,Toronto Blue Jays,
ITN-JC,J.P. Crawford,Seattle Mariners,
ITN-JD,Jarren Duran,Boston Red Sox,
ITN-JE,Jackson Merrill,San Diego Padres,
ITN-JH,Jung HOO Lee,San Francisco Giants,
ITN-JI,José Ramírez,Cleveland Guardians,
ITN-JL,Jose Altuve,Houston Astros,
ITN-JM,Joe Musgrove,San Diego Padres,
ITN-JO,Julio Rodríguez,Seattle Mariners,
ITN-JP,Jeremy Peña,Houston Astros,
ITN-JR,J.T. Realmuto,Philadelphia Phillies,
ITN-JU,Jackson Chourio,Milwaukee Brewers,
ITN-JW,Jordan Westburg,Baltimore Orioles,
ITN-JY,Joe Ryan,Minnesota Twins,
ITN-KB,Kris Bryant,Colorado Rockies,
ITN-KH,Ke'Bryan Hayes,Pittsburgh Pirates,
ITN-KM,Ketel Marte,Arizona Diamondbacks,
ITN-KN,Kodai Senga,New York Mets,
ITN-KS,Kyle Schwarber,Philadelphia Phillies,
ITN-KT,Kyle Tucker,Houston Astros,
ITN-LA,Luis Arraez,San Diego Padres,
ITN-LB,Lawrence Butler,Athletics,
ITN-LC,Luis Castillo,Seattle Mariners,
ITN-LR,Luis Robert Jr.,Chicago White Sox,
ITN-LW,Logan Webb,San Francisco Giants,
ITN-MB,Mookie Betts,Los Angeles Dodgers,
ITN-MF,Max Fried,Atlanta Braves,
ITN-MH,Masataka Yoshida,Boston Red Sox,
ITN-MM,Manny Machado,San Diego Padres,
ITN-MO,Matt Olson,Atlanta Braves,
ITN-MT,Mike Trout,Angels,
ITN-MU,Max Muncy,Los Angeles Dodgers,
ITN-MY,Mike Yastrzemski,San Francisco Giants,
ITN-NC,Nick Castellanos,Philadelphia Phillies,
ITN-NG,Nolan Gorman,St. Louis Cardinals,
ITN-NH,Nico Hoerner,Chicago Cubs,
ITN-NJ,Nolan Jones,Colorado Rockies,
ITN-OC,Oneil Cruz,Pittsburgh Pirates,
ITN-OZ,Ozzie Albies,Atlanta Braves,
ITN-PA,Pete Alonso,New York Mets,
ITN-PG,Paul Goldschmidt,St. Louis Cardinals,
ITN-PL,Pablo López,Minnesota Twins,
ITN-RA,Ronald Acuña Jr.,Atlanta Braves,
ITN-RD,Rafael Devers,Boston Red Sox,
ITN-RG,Riley Greene,Detroit Tigers,
ITN-RM,Ryan Mountcastle,Baltimore Orioles,
ITN-SB,Shane Bieber,Cleveland Guardians,
ITN-SC,Shane McClanahan,Tampa Bay Rays,
ITN-SM,Starling Marte,New York Mets,
ITN-SP,Salvador Perez,Kansas City Royals,
ITN-SS,Spencer Strider,Atlanta Braves,
ITN-SST,Spencer Steer,Cincinnati Reds,
ITN-SSU,Seiya Suzuki,Chicago Cubs,
ITN-ST,Spencer Torkelson,Detroit Tigers,
ITN-TC,Triston Casas,Boston Red Sox,
ITN-TS,Trevor Story,Boston Red Sox,
ITN-TSK,Tarik Skubal,Detroit Tigers,
ITN-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
ITN-WC,William Contreras,Milwaukee Brewers,
ITN-WS,Will Smith,Los Angeles Dodgers,
ITN-XB,Xander Bogaerts,San Diego Padres,
ITN-YA,Yordan Alvarez,Houston Astros,
ITN-YD,Yu Darvish,San Diego Padres,
ITN-ZG,Zack Gelof,Athletics,
ITN-ZW,Zack Wheeler,Philadelphia Phillies,
