card_number,name,team,designations
RWAR-BC,Brandon Crawford,St. Louis Cardinals,
RWAR-BD,Brendan Donovan,St. Louis Cardinals,
RWAR-BUR,Alec Burleson,St. Louis Cardinals,
RWAR-DC,Dylan Carlson,St. Louis Cardinals,
RWAR-LWE,Logan Webb,San Francisco Giants,
RWAR-MW,Masyn Winn,St. Louis Cardinals,
RWAR-MY,Mike Yastrzemski,San Francisco Giants,
RWAR-NG,Nolan Gorman,St. Louis Cardinals,
RWAR-PB,Patrick Bailey,San Francisco Giants,
RWAR-TES,Thairo Estrada,San Francisco Giants,
RWAR-WF,Wilmer Flores,San Francisco Giants,
RWAR-PG,Paul Goldschmidt,St. Louis Cardinals,
RWAR-VS,Victor Scott II,St. Louis Cardinals,
