card_number,name,team,designations
RWR-AB,Alec Burleson,St. Louis Cardinals,
RWR-BC,Brandon Crawford,St. Louis Cardinals,
RWR-BD,Brendan Donovan,St. Louis Cardinals,
RWR-DC,Dylan Carlson,St. Louis Cardinals,
RWR-JS,Jorge Soler,San Francisco Giants,
RWR-LWE,Logan Webb,San Francisco Giants,
RWR-MCH,Matt Chapman,San Francisco Giants,
RWR-MW,Masyn Winn,St. Louis Cardinals,
RWR-MY,Mike Yastrzemski,San Francisco Giants,
RWR-NA,Nolan Arenado,St. Louis Cardinals,
RWR-NG,Nolan Gorman,St. Louis Cardinals,
RWR-PB,Patrick Bailey,San Francisco Giants,
RWR-PG,Paul Goldschmidt,St. Louis Cardinals,
RWR-TES,Thairo Estrada,San Francisco Giants,
RWR-VS,Victor Scott II,St. Louis Cardinals,
RWR-WF,Wilmer Flores,San Francisco Giants,
