card_number,name,team,designations
RTBD-AA,Yordan Alvarez / Jose Altuve,Houston Astros / Houston Astros,
RTBD-BL,Brooks Lee / Byron Buxton,Minnesota Twins / Minnesota Twins,
RTBD-BSW,Dansby Swanson / Cody Bellinger,Chicago Cubs / Chicago Cubs,
RTBD-CM,Corbin Carroll / Ketel Marte,Arizona Diamondbacks / Arizona Diamondbacks,
RTBD-DA,Randy Arozarena / Yandy Díaz,Tampa Bay Rays / Tampa Bay Rays,
RTBD-DAB,Wilyer Abreu / Rafael Devers,Boston Red Sox / Boston Red Sox,
RTBD-GW,Paul Goldschmidt / Masyn Winn,St. Louis Cardinals / St. Louis Cardinals,
RTBD-JS,Corey Seager / Josh Jung,Texas Rangers / Texas Rangers,
RTBD-JSO,Juan Soto / Aaron Judge,New York Yankees / New York Yankees,
RTBD-KH,Kyle Schwarber / Bryce Harper,Philadelphia Phillies / Philadelphia Phillies,
RTBD-LL,Royce Lewis / Trevor Larnach,Minnesota Twins / Minnesota Twins,
RTBD-ML,Francisco Lindor / Jeff McNeil,New York Mets / New York Mets,
RTBD-MME,Manny Machado / Jackson Merrill,San Diego Padres / San Diego Padres,
RTBD-RG,Brent Rooker / Zack Gelof,Athletics / Athletics,
RTBD-SBE,Mookie Betts / Shohei Ohtani,Los Angeles Dodgers / Los Angeles Dodgers,
RTBD-SC,Nick Castellanos / Kyle Schwarber,Philadelphia Phillies / Philadelphia Phillies,
RTBD-SGJ,Vladimir Guerrero Jr. / George Springer,Toronto Blue Jays / Toronto Blue Jays,
RTBD-SJ,Juan Soto / Aaron Judge,New York Yankees / New York Yankees,
RTBD-TB,Xander Bogaerts / Fernando Tatis Jr.,San Diego Padres / San Diego Padres,
RTBD-TD,Brenton Doyle / Ezequiel Tovar,Colorado Rockies / Colorado Rockies,
RTBD-TR,Trea Turner / J.T. Realmuto,Philadelphia Phillies / Philadelphia Phillies,
RTBD-TS,Trea Turner / Bryson Stott,Philadelphia Phillies / Philadelphia Phillies,
