card_number,name,team,designations
RTB-AJU,Aaron Judge,New York Yankees,
RTB-AK,Alejandro Kirk,Toronto Blue Jays,
RTB-BHAR,Bryce Harper,Philadelphia Phillies,
RTB-BR,Bryce Harper,Philadelphia Phillies,
RTB-BRY,Bryce Harper,Philadelphia Phillies,
RTB-BWJ,Bobby Witt Jr.,Kansas City Royals,
RTB-CR,Ceddanne Rafaela,Boston Red Sox,
RTB-DEV3,Rafael Devers,Boston Red Sox,
RTB-JTR,J.T. Realmuto,Philadelphia Phillies,
RTB-JUD,Aaron Judge,New York Yankees,
RTB-JUD2,Aaron Judge,New York Yankees,
RTB-KY,Kyle Schwarber,Philadelphia Phillies,
RTB-MCC,Andrew McCutchen,Pittsburgh Pirates,
RTB-NCA,Nick Castellanos,Philadelphia Phillies,
RTB-NIM,Brandon Nimmo,New York Mets,
RTB-TUR,Trea Turner,Philadelphia Phillies,
RTB-WOOD,James Wood,Washington Nationals,RC
RTB-YEL,Christian Yelich,Milwaukee Brewers,
