card_number,name,team,designations
TN-1,Yu Darvish,San Diego Padres,
TN-2,Hideki Matsui,New York Yankees,
TN-3,Ichiro,Seattle Mariners,
TN-4,Kenta Maeda,Detroit Tigers,
TN-5,Masataka Yoshida,Boston Red Sox,
TN-6,Yuki Matsui,San Diego Padres,
TN-7,Masanori Murakami,San Francisco Giants,
TN-8,Shohei Ohtani,Los Angeles Dodgers,
TN-9,Yoshinobu Yamamoto,Los Angeles Dodgers,
TN-10,Mookie Betts,Los Angeles Dodgers,
TN-11,Freddie Freeman,Los Angeles Dodgers,
TN-12,Clayton Kershaw,Los Angeles Dodgers,
TN-13,Walker Buehler,Los Angeles Dodgers,
TN-14,Max Muncy,Los Angeles Dodgers,
TN-15,Chris Taylor,Los Angeles Dodgers,
TN-16,Teoscar Hernández,Los Angeles Dodgers,
TN-17,Tyler Glasnow,Los Angeles Dodgers,
TN-18,Tommy Edman,Los Angeles Dodgers,
TN-19,Gavin Lux,Los Angeles Dodgers,
TN-20,Michael Kopech,Los Angeles Dodgers,
TN-21,Will Smith,Los Angeles Dodgers,
TN-22,Andy Pages,Los Angeles Dodgers,
TN-23,Kevin Alcántara,Chicago Cubs,RC
TN-24,Shota Imanaga,Chicago Cubs,
TN-25,Seiya Suzuki,Chicago Cubs,
TN-26,Dansby Swanson,Chicago Cubs,
TN-27,Ian Happ,Chicago Cubs,
TN-28,Nico Hoerner,Chicago Cubs,
TN-29,Michael Busch,Chicago Cubs,
TN-30,Cody Bellinger,Chicago Cubs,
TN-31,Justin Steele,Chicago Cubs,
TN-32,Pete Crow-Armstrong,Chicago Cubs,
TN-33,Isaac Paredes,Chicago Cubs,
TN-34,Miguel Amaya,Chicago Cubs,
TN-35,Jameson Taillon,Chicago Cubs,
