card_number,name,team,designations
WTW-1,Corbin Carroll,Arizona Diamondbacks,
WTW-2,JJ Bleday,Athletics,
WTW-3,Lawrence Butler,Athletics,
WTW-4,Michael Harris II,Atlanta Braves,
WTW-5,Anthony Santander,Baltimore Orioles,
WTW-6,Cedric Mullins,Baltimore Orioles,
WTW-7,Adley Rutschman,Baltimore Orioles,
WTW-8,Jordan Westburg,Baltimore Orioles,
WTW-9,Rafael Devers,Boston Red Sox,
WTW-10,Tyler O'Neill,Boston Red Sox,
WTW-11,Jarren Duran,Boston Red Sox,
WTW-12,Seiya Suzuki,Chicago Cubs,
WTW-13,Andrés Giménez,Cleveland Guardians,
WTW-14,Ryan McMahon,Colorado Rockies,
WTW-15,Jose Altuve,Houston Astros,
WTW-16,Salvador Perez,Kansas City Royals,
WTW-17,Mookie Betts,Los Angeles Dodgers,
WTW-18,Shohei Ohtani,Los Angeles Dodgers,
WTW-19,Teoscar Hernández,Los Angeles Dodgers,
WTW-20,Shohei Ohtani,Los Angeles Dodgers,
WTW-21,Francisco Lindor,New York Mets,
WTW-22,Brandon Nimmo,New York Mets,
WTW-23,Juan Soto,New York Yankees,
WTW-24,Jazz Chisholm Jr.,New York Yankees,
WTW-25,Jacob Wilson,Athletics,RC
WTW-26,Trea Turner,Philadelphia Phillies,
WTW-27,J.T. Realmuto,Philadelphia Phillies,
WTW-28,Bryce Harper,Philadelphia Phillies,
WTW-29,Fernando Tatis Jr.,San Diego Padres,
WTW-30,Jackson Merrill,San Diego Padres,
WTW-31,Manny Machado,San Diego Padres,
WTW-32,Luis Arraez,San Diego Padres,
WTW-33,Mike Yastrzemski,San Francisco Giants,
WTW-34,Patrick Bailey,San Francisco Giants,
WTW-35,Randy Arozarena,Seattle Mariners,
WTW-36,Paul Goldschmidt,St. Louis Cardinals,
WTW-37,Nolan Arenado,St. Louis Cardinals,
WTW-38,Brandon Lowe,Tampa Bay Rays,
WTW-39,Marcus Semien,Texas Rangers,
WTW-40,Wyatt Langford,Texas Rangers,
