card_number,name,team,designations
1,Shohei Ohtani,Los Angeles Dodgers,
18,Orelvis Martinez,Toronto Blue Jays,RC
20,Coby Mayo,Baltimore Orioles,RC
22,Masyn Winn,St. Louis Cardinals,
24,Jhonkensy Noel,Cleveland Guardians,RC
25,Cade Povich,Baltimore Orioles,RC
27,Angel Martínez,Cleveland Guardians,RC
35,Anthony Volpe,New York Yankees,
37,Spencer Steer,Cincinnati Reds,
38,Nico Hoerner,Chicago Cubs,
42,Andrew McCutchen,Pittsburgh Pirates,
44,Brenton Doyle,Colorado Rockies,
49,Christian Yelich,Milwaukee Brewers,
54,Austin Riley,Atlanta Braves,
59,Royce Lewis,Minnesota Twins,
64,Ian Happ,Chicago Cubs,
65,Gunnar Henderson,Baltimore Orioles,
67,Trey Sweeney,Detroit Tigers,RC
71,Tarik Skubal,Detroit Tigers,
72,Tyler Soderstrom,Athletics,FS
74,Dylan Crews,Washington Nationals,RC
77,José Ramírez,Cleveland Guardians,
78,Corbin Carroll,Arizona Diamondbacks,
80,Jace Jung,Detroit Tigers,RC
91,Kenta Maeda,Detroit Tigers,
93,Rhys Hoskins,Milwaukee Brewers,
98,Paul Skenes,Pittsburgh Pirates,
100,Bobby Witt Jr.,Kansas City Royals,
101,Nolan Arenado,St. Louis Cardinals,
103,Spencer Schwellenbach,Atlanta Braves,RC
111,Randy Arozarena,Seattle Mariners,
117,Josh Jung,Texas Rangers,
125,Jackson Merrill,San Diego Padres,
126,Dillon Dingler,Detroit Tigers,RC
128,Ketel Marte,Arizona Diamondbacks,
129,Brent Rooker,Athletics,
132,Connor Norby,Miami Marlins,RC
141,Kyle Schwarber,Philadelphia Phillies,
142,Jordan Westburg,Baltimore Orioles,FS
145,Matt Olson,Atlanta Braves,
146,Clayton Kershaw,Los Angeles Dodgers,
148,Ceddanne Rafaela,Boston Red Sox,FS
150,Elly De La Cruz,Cincinnati Reds,FS
153,Brandon Lowe,Tampa Bay Rays,
160,Marcell Ozuna,Atlanta Braves,
163,Vladimir Guerrero Jr.,Toronto Blue Jays,
171,Francisco Alvarez,New York Mets,
174,Mark Vientos,New York Mets,
175,Ha-Seong Kim,San Diego Padres,
176,Teoscar Hernández,Los Angeles Dodgers,
177,Kyle Harrison,San Francisco Giants,FS
181,James Wood,Washington Nationals,RC
187,Gerrit Cole,New York Yankees,
189,Luis Robert Jr.,Chicago White Sox,
191,Adael Amador,Colorado Rockies,RC
192,Tyler Locklear,Seattle Mariners,RC
200,Mike Trout,Angels,
205,Rhett Lowder,Cincinnati Reds,RC
207,Ronald Acuña Jr.,Atlanta Braves,
210,Nolan Schanuel,Angels,FS
212,Will Smith,Los Angeles Dodgers,
215,Manny Machado,San Diego Padres,
217,Rece Hinds,Cincinnati Reds,RC
220,Jackson Holliday,Baltimore Orioles,FS
221,Matt Chapman,San Francisco Giants,
223,Nacho Alvarez Jr.,Atlanta Braves,RC
226,Adrian Del Castillo,Arizona Diamondbacks,RC
231,Yoshinobu Yamamoto,Los Angeles Dodgers,FS
236,Christopher Morel,Tampa Bay Rays,
239,Freddie Freeman,Los Angeles Dodgers,
244,Yordan Alvarez,Houston Astros,
247,Adolis García,Texas Rangers,
249,Brooks Baldwin,Chicago White Sox,RC
250,Bryce Harper,Philadelphia Phillies,
251,Ryan Bliss,Seattle Mariners,RC
260,Jose Altuve,Houston Astros,
262,Giancarlo Stanton,New York Yankees,
266,Julio Rodríguez,Seattle Mariners,
269,Justyn-Henry Malloy,Detroit Tigers,RC
270,Andrés Giménez,Cleveland Guardians,
273,River Ryan,Los Angeles Dodgers,RC
275,Carlos Correa,Minnesota Twins,
277,Jung Hoo Lee,San Francisco Giants,
281,Corey Seager,Texas Rangers,
285,Rafael Devers,Boston Red Sox,
287,DJ Herz,Washington Nationals,RC
288,Evan Carter,Texas Rangers,FS
290,Pete Crow-Armstrong,Chicago Cubs,FS
296,Drew Romo,Colorado Rockies,RC
300,Aaron Judge,New York Yankees,
303,Dansby Swanson,Chicago Cubs,
313,Cody Bellinger,Chicago Cubs,
314,Jacob Wilson,Athletics,RC
317,Brooks Lee,Minnesota Twins,RC
320,Drew Thorpe,Chicago White Sox,RC
323,Yu Darvish,San Diego Padres,
332,Riley Greene,Detroit Tigers,
335,Sandy Alcantara,Miami Marlins,
337,Ben Rice,New York Yankees,RC
350,Francisco Lindor,New York Mets,
