card_number,name,team,designations
1,Shohei Ohtani,Los Angeles Dodgers,
20,Coby Mayo,Baltimore Orioles,RC
49,Christian Yelich,Milwaukee Brewers,
65,Gunnar Henderson,Baltimore Orioles,
74,Dylan Crews,Washington Nationals,RC
78,Corbin Carroll,Arizona Diamondbacks,
80,Jace Jung,Detroit Tigers,RC
98,Paul Skenes,Pittsburgh Pirates,
100,Bobby Witt Jr.,Kansas City Royals,
101,Nolan Arenado,St. Louis Cardinals,
146,Clayton Kershaw,Los Angeles Dodgers,
150,Elly De La Cruz,Cincinnati Reds,
163,Vladimir Guerrero Jr.,Toronto Blue Jays,
181,James Wood,Washington Nationals,RC
187,Gerrit Cole,New York Yankees,
200,Mike Trout,Angels,
207,Ronald Acuña Jr.,Atlanta Braves,
244,Yordan Alvarez,Houston Astros,
250,Bryce Harper,Philadelphia Phillies,
266,Julio Rodríguez,Seattle Mariners,
285,Rafael Devers,Boston Red Sox,
300,Aaron Judge,New York Yankees,
314,Jacob Wilson,Athletics,RC
317,Brooks Lee,Minnesota Twins,RC
350,Francisco Lindor,New York Mets,
400,Shohei Ohtani,Los Angeles Dodgers,
408,Kumar Rocker,Texas Rangers,RC
450,Trea Turner,Philadelphia Phillies,
455,Wyatt Langford,Texas Rangers,
457,Seiya Suzuki,Chicago Cubs,
463,Thomas Saggese,St. Louis Cardinals,RC
473,Shota Imanaga,Chicago Cubs,
474,Bo Bichette,Toronto Blue Jays,
490,Jackson Jobe,Detroit Tigers,RC
500,Mookie Betts,Los Angeles Dodgers,
512,Michael Harris II,Atlanta Braves,
524,Luisangel Acuña,New York Mets,RC
530,Byron Buxton,Minnesota Twins,
550,Pete Alonso,New York Mets,
558,Roki Sasaki,Los Angeles Dodgers,RC
561,Paul Goldschmidt,New York Yankees,
578,Kevin Alcántara,Chicago Cubs,RC
579,Spencer Strider,Atlanta Braves,
583,Alex Bregman,Boston Red Sox,
587,Jarren Duran,Boston Red Sox,
600,Fernando Tatis Jr.,San Diego Padres,
650,Adley Rutschman,Baltimore Orioles,
676,Blake Snell,Los Angeles Dodgers,
700,Juan Soto,New York Mets,
