card_number,name,team,designations
91AS-ABE,Adrian Beltré,Texas Rangers,
91AS-AD,Andre Dawson,Chicago Cubs,
91AS-AJ,Andruw Jones,Atlanta Braves,
91AS-AP,Albert Pujols,St. Louis Cardinals,
91AS-AR,Austin Riley,Atlanta Braves,
91AS-ARU,Adley Rutschman,Baltimore Orioles,
91AS-BB,Byron Buxton,Minnesota Twins,
91AS-BH,Bryce Harper,Philadelphia Phillies,
91AS-BL,Barry Larkin,Cincinnati Reds,
91AS-BW,Bernie Williams,New York Yankees,
91AS-CB,Craig Biggio,Houston Astros,
91AS-CC,Corbin Carroll,Arizona Diamondbacks,
91AS-CF,Carlton Fisk,Boston Red Sox,
91AS-CJ,Chipper Jones,Atlanta Braves,
91AS-CR,Cal Ripken Jr.,Baltimore Orioles,
91AS-CSA,CC Sabathia,New York Yankees,
91AS-CU,Chase Utley,Philadelphia Phillies,
91AS-CY,Christian Yelich,Milwaukee Brewers,
91AS-DE,Dennis Eckersley,Oakland Athletics,
91AS-DJ,Derek Jeter,New York Yankees,
91AS-DM,Dale Murphy,Atlanta Braves,
91AS-DMA,Don Mattingly,New York Yankees,
91AS-DO,David Ortiz,Boston Red Sox,
91AS-DS,Darryl Strawberry,New York Mets,
91AS-DW,Dave Winfield,New York Yankees,
91AS-DWR,David Wright,New York Mets,
91AS-ED,Elly De La Cruz,Cincinnati Reds,
91AS-EMA,Edgar Martinez,Seattle Mariners,
91AS-FF,Freddie Freeman,Los Angeles Dodgers,
91AS-FL,Francisco Lindor,New York Mets,
91AS-FM,Fred McGriff,Atlanta Braves,
91AS-FT,Fernando Tatis Jr.,San Diego Padres,
91AS-FTH,Frank Thomas,Chicago White Sox,
91AS-GB,George Brett,Kansas City Royals,
91AS-GM,Greg Maddux,Chicago Cubs,
91AS-HM,Hideki Matsui,New York Yankees,
91AS-I,Ichiro,Seattle Mariners,
91AS-JB,Jeff Bagwell,Houston Astros,
91AS-JBE,Johnny Bench,Cincinnati Reds,
91AS-JC,Jazz Chisholm Jr.,New York Yankees,
91AS-JCA,Jose Canseco,Oakland Athletics,
91AS-JD,Jarren Duran,Boston Red Sox,
91AS-JME,Jackson Merrill,San Diego Padres,
91AS-JMI,Jacob Misiorowski,Milwaukee Brewers,
91AS-JS,John Smoltz,Atlanta Braves,
91AS-JV,Joey Votto,Cincinnati Reds,
91AS-JW,James Wood,Washington Nationals,
91AS-JWI,Jacob Wilson,Athletics,
91AS-MM,Mark McGwire,Oakland Athletics,
91AS-MMA,Manny Machado,San Diego Padres,
91AS-MO,Matt Olson,Atlanta Braves,
91AS-MS,Mike Schmidt,Philadelphia Phillies,
91AS-MT,Mike Trout,Angels,
91AS-NR,Nolan Ryan,Texas Rangers,
91AS-NRY,Nolan Ryan,Houston Astros,
91AS-OS,Ozzie Smith,St. Louis Cardinals,
91AS-PM,Paul Molitor,Milwaukee Brewers,
91AS-RA,Ronald Acuña Jr.,Atlanta Braves,
91AS-RC,Roger Clemens,Boston Red Sox,
91AS-RG,Riley Greene,Detroit Tigers,
91AS-RH,Ryan Howard,Philadelphia Phillies,
91AS-RJ,Randy Johnson,Seattle Mariners,
91AS-RY,Robin Yount,Milwaukee Brewers,
91AS-SC,Steve Carlton,Philadelphia Phillies,
91AS-SK,Sandy Koufax,Los Angeles Dodgers,
91AS-SSO,Sammy Sosa,Chicago Cubs,
91AS-TG,Tom Glavine,Atlanta Braves,
91AS-TT,Trea Turner,Philadelphia Phillies,
91AS-VG,Vladimir Guerrero,Montréal Expos,
91AS-WB,Wade Boggs,Boston Red Sox,
91AS-WC,Will Clark,San Francisco Giants,
