card_number,name,team,designations
75YA-AD,Andre Dawson,Chicago Cubs,
75YA-AJ,Aaron Judge,New York Yankees,
75YA-AJO,Andruw Jones,Atlanta Braves,
75YA-AM,Andrew McCutchen,Pittsburgh Pirates,
75YA-APU,Albert Pujols,St. Louis Cardinals,
75YA-AR,Adley Rutschman,Baltimore Orioles,
75YA-AT,Alan Trammell,Detroit Tigers,
75YA-AV,Anthony Volpe,New York Yankees,
75YA-BBO,Barry Bonds,San Francisco Giants,
75YA-BH,Bryce Harper,Philadelphia Phillies,
75YA-BJ,Bo Jackson,Kansas City Royals,
75YA-BL,Barry Larkin,Cincinnati Reds,
75YA-BW,Bobby Witt Jr.,Kansas City Royals,
75YA-CB,Craig Biggio,Houston Astros,
75YA-CC,Corbin Carroll,Arizona Diamondbacks,
75YA-CF,Carlton Fisk,Boston Red Sox,
75YA-CJ,Chipper Jones,Atlanta Braves,
75YA-CK,Clayton Kershaw,Los Angeles Dodgers,
75YA-CR,Cal Ripken Jr.,Baltimore Orioles,
75YA-CU,Chase Utley,Philadelphia Phillies,
75YA-CY,Christian Yelich,Milwaukee Brewers,
75YA-DJ,Derek Jeter,New York Yankees,
75YA-DM,Don Mattingly,New York Yankees,
75YA-DMU,Dale Murphy,Atlanta Braves,
75YA-DO,David Ortiz,Boston Red Sox,
75YA-DS,Darryl Strawberry,New York Mets,
75YA-DW,David Wright,New York Mets,
75YA-EM,Eddie Murray,Baltimore Orioles,
75YA-FT,Fernando Tatis Jr.,San Diego Padres,
75YA-FTH,Frank Thomas,Chicago White Sox,
75YA-GB,George Brett,Kansas City Royals,
75YA-GM,Greg Maddux,Chicago Cubs,
75YA-GMX,Greg Maddux,Atlanta Braves,
75YA-I,Ichiro,Seattle Mariners,
75YA-IR,Ivan Rodriguez,Texas Rangers,
75YA-JA,Jose Altuve,Houston Astros,
75YA-JB,Jeff Bagwell,Houston Astros,
75YA-JBE,Johnny Bench,Cincinnati Reds,
75YA-JCA,Jac Caglianone,Kansas City Royals,RC
75YA-JCH,Jackson Chourio,Milwaukee Brewers,
75YA-JCJ,Jazz Chisholm Jr.,New York Yankees,
75YA-JRA,José Ramírez,Cleveland Guardians,
75YA-JROD,Julio Rodríguez,Seattle Mariners,
75YA-JV,Joey Votto,Cincinnati Reds,
75YA-JVA,Jason Varitek,Boston Red Sox,
75YA-KG,Ken Griffey Jr.,Seattle Mariners,
75YA-KT,Kyle Tucker,Chicago Cubs,
75YA-LW,Larry Walker,Colorado Rockies,
75YA-MH,Michael Harris II,Atlanta Braves,
75YA-MMA,Manny Machado,San Diego Padres,
75YA-MMC,Mark McGwire,Oakland Athletics,
75YA-MP,Mike Piazza,New York Mets,
75YA-MS,Mike Schmidt,Philadelphia Phillies,
75YA-MT,Mike Trout,Angels,
75YA-NA,Nolan Arenado,St. Louis Cardinals,
75YA-NG,Nomar Garciaparra,Boston Red Sox,
75YA-NRY,Nolan Ryan,Houston Astros,
75YA-OS,Ozzie Smith,St. Louis Cardinals,
75YA-PA,Pete Alonso,New York Mets,
75YA-PMO,Paul Molitor,Milwaukee Brewers,
75YA-PO,Paul O'neill,New York Yankees,
75YA-PS,Paul Skenes,Pittsburgh Pirates,
75YA-RA,Roman Anthony,Boston Red Sox,RC
75YA-RAJ,Ronald Acuña Jr.,Atlanta Braves,
75YA-RC,Roger Clemens,Boston Red Sox,
75YA-REG,Reggie Jackson,Oakland Athletics,
75YA-RJ,Randy Johnson,Seattle Mariners,
75YA-RJA,Reggie Jackson,New York Yankees,
75YA-RJO,Randy Johnson,Arizona Diamondbacks,
75YA-RY,Robin Yount,Milwaukee Brewers,
75YA-SO,Shohei Ohtani,Los Angeles Dodgers,
75YA-SSO,Sammy Sosa,Chicago Cubs,
75YA-TG,Tom Glavine,Atlanta Braves,
75YA-VG,Vladimir Guerrero,Montréal Expos,
75YA-WB,Wade Boggs,Boston Red Sox,
75YA-WC,Will Clark,San Francisco Giants,
75YA-YY,Yoshinobu Yamamoto,Los Angeles Dodgers,
75YA-BB,Byron Buxton,Minnesota Twins,
75YA-BP,Buster Posey,San Francisco Giants,
75YA-GH,Gunnar Henderson,Baltimore Orioles,
75YA-JMA,Joe Mauer,Minnesota Twins,
75YA-JSO,Juan Soto,New York Mets,
75YA-MC,Miguel Cabrera,Detroit Tigers,
75YA-NR,Nolan Ryan,Texas Rangers,
75YA-RG,Riley Greene,Detroit Tigers,
75YA-SI,Shota Imanaga,Chicago Cubs,
75YA-SKO,Sandy Koufax,Los Angeles Dodgers,
75YA-TH,Torii Hunter,Minnesota Twins,
