card_number,name,team,designations
CC2-ABO,Alec Bohm,Philadelphia Phillies,
CC2-AR,Adley Rutschman,Baltimore Orioles,
CC2-BB,Byron Buxton,Minnesota Twins,
CC2-BS,Bryson Stott,Philadelphia Phillies,
CC2-BW,Bryan Woo,Seattle Mariners,
CC2-CA,CJ Abrams,Washington Nationals,
CC2-CC,Colton Cowser,Baltimore Orioles,
CC2-CR,Ceddanne Rafaela,Boston Red Sox,
CC2-DG,Drew Gilbert,San Francisco Giants,
CC2-ET,Ezequiel Tovar,Colorado Rockies,
CC2-FF,Freddie Freeman,Los Angeles Dodgers,
CC2-FL,Francisco Lindor,New York Mets,
CC2-FT,Fernando Tatis Jr.,San Diego Padres,
CC2-JC,Junior Caminero,Tampa Bay Rays,
CC2-JD,Jarren Duran,Boston Red Sox,
CC2-JH,Jung Hoo Lee,San Francisco Giants,
CC2-JHO,Jackson Holliday,Baltimore Orioles,
CC2-JJ,Josh Jung,Texas Rangers,
CC2-JL,Jordan Lawlar,Arizona Diamondbacks,
CC2-JR,J.T. Realmuto,Philadelphia Phillies,
CC2-JRA,José Ramírez,Cleveland Guardians,
CC2-JS,Juan Soto,New York Mets,
CC2-JW,James Wood,Washington Nationals,
CC2-JWE,Jordan Westburg,Baltimore Orioles,
CC2-KK,Kyle Karros,Colorado Rockies,
CC2-LO,Logan O'Hoppe,Angels,
CC2-MC,Matt Chapman,San Francisco Giants,
CC2-MMA,Manny Machado,San Diego Padres,
CC2-MT,Mike Trout,Angels,
CC2-MV,Mark Vientos,New York Mets,
CC2-MW,Masyn Winn,St. Louis Cardinals,
CC2-NA,Nolan Arenado,St. Louis Cardinals,
CC2-NS,Nolan Schanuel,Angels,
CC2-PA,Pete Alonso,New York Mets,
CC2-RA,Ronald Acuña Jr.,Atlanta Braves,
CC2-RM,Ryan Mountcastle,Baltimore Orioles,
CC2-SF,Sal Frelick,Milwaukee Brewers,
CC2-TH,Teoscar Hernández,Los Angeles Dodgers,
CC2-TS,Tarik Skubal,Detroit Tigers,
CC2-TT,Trea Turner,Philadelphia Phillies,
CC2-WS,Will Smith,Los Angeles Dodgers,
CC2-ZN,Zach Neto,Angels,
CCAR-AR,Austin Riley,Atlanta Braves,
CCAR-CM,Christopher Morel,Tampa Bay Rays,
CCAR-CR,Cal Raleigh,Seattle Mariners,
CCAR-CS,Corey Seager,Texas Rangers,
CCAR-FT,Fernando Tatis Jr.,San Diego Padres,
CCAR-JP,Jeremy Peña,Houston Astros,
CCAR-JRA,José Ramírez,Cleveland Guardians,
CCAR-JV,Joey Votto,Cincinnati Reds,
CCAR-LA,Luis Arraez,San Diego Padres,
CCAR-MH,Michael Harris II,Atlanta Braves,
CCAR-RA,Ronald Acuña Jr.,Atlanta Braves,
CCAR-SO,Shohei Ohtani,Angels,
CCAR-TC,Triston Casas,Boston Red Sox,
CCAR-TSW,Trey Sweeney,Detroit Tigers,
