card_number,name,team,designations
AK-1,Aaron Judge,New York Yankees,
AK-2,Ronald Acuña Jr.,Atlanta Braves,
AK-3,Bryce Harper,Philadelphia Phillies,
AK-4,Shohei Ohtani,Los Angeles Dodgers,
AK-5,Mike Trout,Angels,
AK-6,Pete Crow-Armstrong,Chicago Cubs,
AK-7,Bobby Witt Jr.,Kansas City Royals,
AK-8,Elly De La Cruz,Cincinnati Reds,
AK-9,Cal Ripken Jr.,Baltimore Orioles,
AK-10,Hank Aaron,Atlanta Braves,
AK-11,Rickey Henderson,Oakland Athletics,
AK-12,Barry Bonds,San Francisco Giants,
AK-13,Babe Ruth,New York Yankees,
AK-14,Roman Anthony,Boston Red Sox,RC
AK-15,Jac Caglianone,Kansas City Royals,RC
AK-16,Ryne Sandberg,Chicago Cubs,
AK-17,Derek Jeter,New York Yankees,
AK-18,Jackie Robinson,Brooklyn Dodgers,
AK-19,Mickey Mantle,New York Yankees,
AK-20,Ken Griffey Jr.,Seattle Mariners,
AK-21,Jackson Chourio,Milwaukee Brewers,
AK-22,Juan Soto,New York Mets,
AK-23,Cal Raleigh,Seattle Mariners,
AK-24,Vladimir Guerrero Jr.,Toronto Blue Jays,
AK-25,Nick Kurtz,Athletics,
AK-26,Bryce Eldridge,San Francisco Giants,RC
AK-27,Carson Williams,Tampa Bay Rays,RC
AK-28,Samuel Basallo,Baltimore Orioles,RC
AK-29,Munetaka Murakami,Chicago White Sox,RC
AK-30,Roberto Clemente,Pittsburgh Pirates,
