card_number,name,team,designations
BTP-1,Mike Trout,Angels,
BTP-2,Jacob Misiorowski,Milwaukee Brewers,RC
BTP-3,Shohei Ohtani,Los Angeles Dodgers,
BTP-4,Gunnar Henderson,Baltimore Orioles,
BTP-5,Elly De La Cruz,Cincinnati Reds,
BTP-6,Corbin Carroll,Arizona Diamondbacks,
BTP-7,Ronald Acuña Jr.,Atlanta Braves,
BTP-8,Mookie Betts,Los Angeles Dodgers,
BTP-9,José Ramírez,Cleveland Guardians,
BTP-10,Francisco Lindor,New York Mets,
BTP-11,Juan Soto,New York Mets,
BTP-12,Jackson Chourio,Milwaukee Brewers,
BTP-13,Pete Crow-Armstrong,Chicago Cubs,
BTP-14,Paul Skenes,Pittsburgh Pirates,
BTP-15,James Wood,Washington Nationals,
BTP-16,Bobby Witt Jr.,Kansas City Royals,
BTP-17,Vladimir Guerrero Jr.,Toronto Blue Jays,
BTP-18,Aaron Judge,New York Yankees,
BTP-19,Bryce Harper,Philadelphia Phillies,
BTP-20,Fernando Tatis Jr.,San Diego Padres,
BTP-21,Julio Rodríguez,Seattle Mariners,
BTP-22,Jac Caglianone,Kansas City Royals,RC
BTP-23,Roman Anthony,Boston Red Sox,RC
BTP-24,Chase Burns,Cincinnati Reds,RC
BTP-25,Samuel Basallo,Baltimore Orioles,RC
BTP-26,Kyle Teel,Chicago White Sox,RC
