card_number,name,team,designations
CA-1,Mike Trout,Angels,
CA-2,Pete Alonso,New York Mets,
CA-3,Julio Rodríguez,Seattle Mariners,
CA-4,Ronald Acuña Jr.,Atlanta Braves,
CA-5,Aaron Judge,New York Yankees,
CA-6,Shohei Ohtani,Angels,
CA-7,Bryce Harper,Washington Nationals,
CA-8,Albert Pujols,St. Louis Cardinals,
CA-9,Juan Soto,Washington Nationals,
CA-10,Prince Fielder,Detroit Tigers,
CA-11,Joe Mauer,Minnesota Twins,
CA-12,Buster Posey,San Francisco Giants,
CA-13,Bryce Harper,Washington Nationals,
CA-14,Mike Trout,Angels,
CA-15,Fernando Tatis Jr.,San Diego Padres,
CA-16,Vladimir Guerrero Jr.,Toronto Blue Jays,
CA-17,Aaron Judge,New York Yankees,
CA-18,Shohei Ohtani,Los Angeles Dodgers,
CA-19,Mike Trout,Angels,
CA-20,Clayton Kershaw,Los Angeles Dodgers,
